Anunciante,Bloco de anúncios,Data,Tamanho do criativo,Total de impressões,Total de cliques,Receita Bruta (R$),Receita Líquida,eCPM
AGCLUB7 INTERACTIVE B.V/0000-00,Portal NE10,01/02/2024,480 x 360v,2,0,"R$0,05 ","0,03","25,0"
AGCLUB7 INTERACTIVE B.V/0000-00,Portal NE10,01/02/2024,300 x 250v,8,0,"R$0,20 ","0,12","25,0"
AGCLUB7 INTERACTIVE B.V/0000-00,Portal NE10,01/02/2024,480 x 360v,2,0,"R$0,05 ","0,03","25,0"
AGCLUB7 INTERACTIVE B.V/0000-00,Interior,01/02/2024,300 x 250v,11,0,"R$0,28 ","0,168","25,4545"
AGCLUB7 INTERACTIVE B.V/0000-00,Interior,01/02/2024,640 x 480v,1,0,"R$0,03 ","0,018","30,0"
AGCLUB7 INTERACTIVE B.V/0000-00,JC Online,01/02/2024,300 x 250v,340,1,"R$8,57 ","5,142","25,2059"
AGCLUB7 INTERACTIVE B.V/0000-00,Jamildo,01/02/2024,300 x 250v,365,0,"R$9,20 ","5,52","25,2055"
AGCLUB7 INTERACTIVE B.V/0000-00,Jamildo,01/02/2024,300 x 250v,171,1,"R$4,31 ","2,586","25,2047"
AGCLUB7 INTERACTIVE B.V/0000-00,Jamildo,01/02/2024,300 x 250v,55,0,"R$1,39 ","0,834","25,2727"
AGCLUB7 INTERACTIVE B.V/0000-00,Jamildo,01/02/2024,480 x 360v,1,0,"R$0,03 ","0,018","30,0"
AGCLUB7 INTERACTIVE B.V/0000-00,Social 1,01/02/2024,300 x 250v,180,0,"R$4,54 ","2,724","25,2222"
AGCLUB7 INTERACTIVE B.V/0000-00,Blog do Torcedor,01/02/2024,300 x 250v,42,0,"R$1,06 ","0,636","25,2381"
AGCLUB7 INTERACTIVE B.V/0000-00,JC Online,01/02/2024,480 x 360v,2,0,"R$0,05 ","0,03","25,0"
