Anunciante,Bloco de anúncios,Data,Mês,Tamanho do criativo,Total de impressões,Total de cliques,Receita Bruta (R$),Receita Líquida,eCPM médio total (R$),Porcentagem do total de impressões visíveis do Active View
(VENDAS DIRETAS SJCC)  PITU,Social 1,02/07/2024,7,1 x 1,2028,12,"17,64 ","10,584","R$8,70 ","32,61%"
(VENDAS DIRETAS SJCC)  PITU,Social 1,01/07/2024,7,320 x 50,4,0,"0,03 ","0,018","R$8,70 ","100,00%"
(VENDAS DIRETAS SJCC)  PITU,Social 1,01/07/2024,7,728 x 90,4,0,"0,03 ","0,018","R$8,70 ","100,00%"
(VENDAS DIRETAS SJCC)  PITU,Social 1,02/07/2024,7,320 x 50,48,0,"0,42 ","0,252","R$8,70 ","97,92%"
(VENDAS DIRETAS SJCC)  PITU,Social 1,02/07/2024,7,728 x 90,9,0,"0,08 ","0,048","R$8,70 ","100,00%"
(VENDAS DIRETAS SJCC)  PITU,Rádio Jornal,01/07/2024,7,1 x 1,11,0,"0,10 ","0,06","R$8,70 ","63,64%"
(VENDAS DIRETAS SJCC)  PITU,Rádio Jornal,01/07/2024,7,300 x 250,189,1,"1,64 ","0,984","R$8,70 ","74,60%"
(VENDAS DIRETAS SJCC)  PITU,Rádio Jornal,01/07/2024,7,300 x 600,17,0,"0,15 ","0,09","R$8,70 ","105,88%"
(VENDAS DIRETAS SJCC)  PITU,Rádio Jornal,01/07/2024,7,320 x 50,295,0,"2,57 ","1,542","R$8,70 ","77,21%"
(VENDAS DIRETAS SJCC)  PITU,Rádio Jornal,01/07/2024,7,728 x 90,22,0,"0,19 ","0,114","R$8,70 ","118,18%"
(VENDAS DIRETAS SJCC)  PITU,Rádio Jornal,01/07/2024,7,970 x 250,6,0,"0,05 ","0,03","R$8,70 ","100,00%"
(VENDAS DIRETAS SJCC)  PITU,Rádio Jornal,02/07/2024,7,1 x 1,82,0,"0,71 ","0,426","R$8,70 ","80,49%"
(VENDAS DIRETAS SJCC)  PITU,Rádio Jornal,02/07/2024,7,300 x 250,84,0,"0,73 ","0,438","R$8,70 ","67,86%"
(VENDAS DIRETAS SJCC)  PITU,Rádio Jornal,02/07/2024,7,300 x 600,14,0,"0,12 ","0,072","R$8,70 ","42,86%"
(VENDAS DIRETAS SJCC)  PITU,Rádio Jornal,02/07/2024,7,320 x 50,173,0,"1,51 ","0,906","R$8,70 ","75,58%"
(VENDAS DIRETAS SJCC)  PITU,Rádio Jornal,02/07/2024,7,728 x 90,14,0,"0,12 ","0,072","R$8,70 ","71,43%"
(VENDAS DIRETAS SJCC)  PITU,Rádio Jornal,01/07/2024,7,1 x 1,5,0,"0,04 ","0,024","R$8,70 ","40,00%"
(VENDAS DIRETAS SJCC)  PITU,Rádio Jornal,02/07/2024,7,1 x 1,25,0,"0,22 ","0,132","R$8,70 ","48,00%"
(VENDAS DIRETAS SJCC)  PITU,Rádio Jornal,01/07/2024,7,320 x 50,38,0,"0,33 ","0,198","R$8,70 ","100,00%"
(VENDAS DIRETAS SJCC)  PITU,Rádio Jornal,01/07/2024,7,728 x 90,19,0,"0,17 ","0,102","R$8,70 ","121,05%"
(VENDAS DIRETAS SJCC)  PITU,Rádio Jornal,02/07/2024,7,320 x 50,42,0,"0,37 ","0,222","R$8,70 ","88,10%"
(VENDAS DIRETAS SJCC)  PITU,Rádio Jornal,02/07/2024,7,728 x 90,15,0,"0,13 ","0,078","R$8,70 ","86,67%"
(VENDAS DIRETAS SJCC)  PITU,Rádio Jornal,01/07/2024,7,300 x 600,326,0,"2,84 ","1,704","R$8,70 ","99,39%"
(VENDAS DIRETAS SJCC)  PITU,Rádio Jornal,01/07/2024,7,320 x 50,5052,3,"43,95 ","26,37","R$8,70 ","99,62%"
(VENDAS DIRETAS SJCC)  PITU,Rádio Jornal,02/07/2024,7,1 x 1,9,0,"0,08 ","0,048","R$8,70 ","100,00%"
(VENDAS DIRETAS SJCC)  PITU,Rádio Jornal,02/07/2024,7,320 x 50,6879,4,"59,85 ","35,91","R$8,70 ","99,67%"
(VENDAS DIRETAS SJCC)  PITU,Rádio Jornal,01/07/2024,7,728 x 90,2,0,"0,02 ","0,012","R$8,70 ","100,00%"
(VENDAS DIRETAS SJCC)  PITU,Rádio Jornal,02/07/2024,7,320 x 50,1,0,"0,01 ","0,006","R$8,70 ","100,00%"
(VENDAS DIRETAS SJCC)  PITU,Rádio Jornal,01/07/2024,7,300 x 250,4223,5,"36,74 ","22,044","R$8,70 ","69,10%"
(VENDAS DIRETAS SJCC)  PITU,Rádio Jornal,01/07/2024,7,320 x 50,11,0,"0,10 ","0,06","R$8,70 ","90,91%"
(VENDAS DIRETAS SJCC)  PITU,Rádio Jornal,02/07/2024,7,300 x 250,363,0,"3,16 ","1,896","R$8,70 ","79,06%"
(VENDAS DIRETAS SJCC)  PITU,Rádio Jornal,02/07/2024,7,320 x 50,24,0,"0,21 ","0,126","R$8,70 ","79,17%"
(VENDAS DIRETAS SJCC)  PITU,Rádio Jornal,01/07/2024,7,300 x 250,1,0,"0,01 ","0,006","R$8,70 ","0,00%"
(VENDAS DIRETAS SJCC)  PITU,Rádio Jornal,02/07/2024,7,300 x 250,2,0,"0,02 ","0,012","R$8,70 ","100,00%"
(VENDAS DIRETAS SJCC)  PITU,Rádio Jornal,01/07/2024,7,320 x 50,1,0,"0,01 ","0,006","R$8,70 ","100,00%"
(Venda Direta SJCC) - SICREDI,Portal NE10,01/07/2024,7,320 x 50,11,0,"0,07 ","0,042","R$6,67 ","81,82%"
(Venda Direta SJCC) - SICREDI,Portal NE10,01/07/2024,7,970 x 250,2,0,"0,01 ","0,006","R$6,67 ","50,00%"
(Venda Direta SJCC) - SICREDI,Portal NE10,01/07/2024,7,320 x 50,1,0,"0,01 ","0,006","R$6,67 ","100,00%"
(Venda Direta SJCC) - SICREDI,Portal NE10,01/07/2024,7,300 x 250,28,0,"0,19 ","0,114","R$6,67 ","64,29%"
(Venda Direta SJCC) - SICREDI,Portal NE10,01/07/2024,7,320 x 50,93,0,"0,62 ","0,372","R$6,67 ","84,95%"
(Venda Direta SJCC) - SICREDI,Portal NE10,01/07/2024,7,320 x 50,29,0,"0,19 ","0,114","R$6,67 ","93,10%"
(Venda Direta SJCC) - SICREDI,Portal NE10,01/07/2024,7,300 x 250,6,0,"0,04 ","0,024","R$6,67 ","66,67%"
(Venda Direta SJCC) - SICREDI,Interior,01/07/2024,7,300 x 250,216,0,"1,44 ","0,864","R$6,67 ","53,24%"
(Venda Direta SJCC) - SICREDI,Interior,01/07/2024,7,320 x 50,69,0,"0,46 ","0,276","R$6,67 ","84,06%"
(Venda Direta SJCC) - SICREDI,Interior,01/07/2024,7,320 x 50,888,0,"5,92 ","3,552","R$6,67 ","97,52%"
(Venda Direta SJCC) - SICREDI,Interior,01/07/2024,7,300 x 250,37,0,"0,25 ","0,15","R$6,67 ","72,97%"
(Venda Direta SJCC) - SICREDI,JC Online,01/07/2024,7,300 x 250,85,0,"0,57 ","0,342","R$6,67 ","59,52%"
(Venda Direta SJCC) - SICREDI,JC Online,01/07/2024,7,300 x 600,13,0,"0,09 ","0,054","R$6,67 ","84,62%"
(Venda Direta SJCC) - SICREDI,JC Online,01/07/2024,7,320 x 50,474,0,"3,16 ","1,896","R$6,67 ","95,36%"
(Venda Direta SJCC) - SICREDI,JC Online,01/07/2024,7,970 x 250,2,0,"0,01 ","0,006","R$6,67 ","50,00%"
(Venda Direta SJCC) - SICREDI,JC Online,01/07/2024,7,320 x 50,202,0,"1,35 ","0,81","R$6,67 ","95,05%"
(Venda Direta SJCC) - SICREDI,Portal NE10,01/07/2024,7,320 x 50,10,0,"0,07 ","0,042","R$6,67 ","90,00%"
(Venda Direta SJCC) - SICREDI,Social 1,01/07/2024,7,300 x 250,268,0,"1,79 ","1,074","R$6,67 ","74,25%"
(Venda Direta SJCC) - SICREDI,Social 1,01/07/2024,7,320 x 50,750,0,"5,00 ","3,0","R$6,67 ","94,93%"
(Venda Direta SJCC) - SICREDI,Social 1,01/07/2024,7,320 x 50,43,0,"0,29 ","0,174","R$6,67 ","100,00%"
(Venda Direta SJCC) - SICREDI,Blog do Torcedor,01/07/2024,7,300 x 250,3,0,"0,02 ","0,012","R$6,67 ","66,67%"
(Venda Direta SJCC) - SICREDI,Blog do Torcedor,01/07/2024,7,320 x 50,7,0,"0,05 ","0,03","R$6,67 ","85,71%"
(Venda Direta SJCC) - SICREDI,Blog do Torcedor,01/07/2024,7,320 x 50,122,0,"0,81 ","0,486","R$6,67 ","97,54%"
(Venda Direta SJCC) - SICREDI,JC Online,01/07/2024,7,300 x 250,7,0,"0,05 ","0,03","R$6,67 ","42,86%"
(Venda Direta SJCC) - SICREDI,Portal NE10,01/07/2024,7,320 x 50,5,0,"0,03 ","0,018","R$6,67 ","100,00%"
(Venda Direta SJCC) - SICREDI,Portal NE10,01/07/2024,7,320 x 50,1,0,"0,01 ","0,006","R$6,67 ","100,00%"
(Venda Direta SJCC) - SICREDI,Rádio Jornal,01/07/2024,7,300 x 250,2,0,"0,01 ","0,006","R$6,67 ","50,00%"
(Venda Direta SJCC) - SICREDI,Rádio Jornal,01/07/2024,7,320 x 50,11,0,"0,07 ","0,042","R$6,67 ","90,91%"
(Venda Direta SJCC) - SICREDI,Rádio Jornal,01/07/2024,7,320 x 50,5,0,"0,03 ","0,018","R$6,67 ","100,00%"
(Venda Direta SJCC) - SICREDI,Rádio Jornal,01/07/2024,7,300 x 600,13,0,"0,09 ","0,054","R$6,67 ","100,00%"
(Venda Direta SJCC) - SICREDI,Rádio Jornal,01/07/2024,7,320 x 50,174,0,"1,16 ","0,696","R$6,67 ","100,00%"
(Venda Direta SJCC) - SICREDI,Rádio Jornal,01/07/2024,7,300 x 250,486,0,"3,24 ","1,944","R$6,67 ","72,43%"
(Venda Direta SJCC) - SICREDI,TV Jornal,01/07/2024,7,300 x 250,17,0,"0,11 ","0,066","R$6,67 ","58,82%"
(Venda Direta SJCC) - SICREDI,TV Jornal,01/07/2024,7,320 x 50,88,0,"0,59 ","0,354","R$6,67 ","86,36%"
(Venda Direta SJCC) - SICREDI,TV Jornal,01/07/2024,7,320 x 50,37,0,"0,25 ","0,15","R$6,67 ","94,59%"
(Venda Direta SJCC) - SICREDI,Interior,01/07/2024,7,320 x 50,1,0,"0,01 ","0,006","R$6,67 ","100,00%"
(Venda Direta SJCC) Armazem coral,Portal NE10,01/07/2024,7,1 x 1,15,0,"0,32 ","0,192","R$21,42 ","46,67%"
(Venda Direta SJCC) Armazem coral,Portal NE10,01/07/2024,7,300 x 250,734,1,"15,72 ","9,432","R$21,42 ","64,58%"
(Venda Direta SJCC) Armazem coral,Portal NE10,01/07/2024,7,300 x 600,112,0,"2,40 ","1,44","R$21,42 ","51,79%"
(Venda Direta SJCC) Armazem coral,Portal NE10,01/07/2024,7,320 x 50,328,0,"7,03 ","4,218","R$21,42 ","73,48%"
(Venda Direta SJCC) Armazem coral,Portal NE10,01/07/2024,7,728 x 90,31,0,"0,66 ","0,396","R$21,42 ","35,48%"
(Venda Direta SJCC) Armazem coral,Portal NE10,01/07/2024,7,970 x 250,65,0,"1,39 ","0,834","R$21,42 ","73,85%"
(Venda Direta SJCC) Armazem coral,Portal NE10,02/07/2024,7,1 x 1,152,0,"3,26 ","1,956","R$21,42 ","46,05%"
(Venda Direta SJCC) Armazem coral,Portal NE10,02/07/2024,7,300 x 250,193,0,"4,13 ","2,478","R$21,42 ","63,21%"
