Anunciante,Bloco de anúncios,Data,Mês,Tamanho do criativo,Total de impressões,Total de cliques,Receita Bruta (R$),Receita Líquida,eCPM médio total (R$),Porcentagem do total de impressões visíveis do Active View
( Venda Direta SJCC)  UNIVERSIDADE CATOLICA DE PERNAMBUCO,Portal NE10,19/06/2024,6,970 x 250,284,1,"2,52 ","1,512","R$8,89 ","67,96%"
( Venda Direta SJCC)  UNIVERSIDADE CATOLICA DE PERNAMBUCO,Portal NE10,19/06/2024,6,970 x 250,1,0,"0,01 ","0,006","R$8,89 ","100,00%"
( Venda Direta SJCC)  UNIVERSIDADE CATOLICA DE PERNAMBUCO,Portal NE10,19/06/2024,6,970 x 250,517,1,"4,60 ","2,76","R$8,89 ","77,18%"
( Venda Direta SJCC)  UNIVERSIDADE CATOLICA DE PERNAMBUCO,Interior,19/06/2024,6,970 x 250,1365,1,"12,13 ","7,278","R$8,89 ","71,94%"
( Venda Direta SJCC)  UNIVERSIDADE CATOLICA DE PERNAMBUCO,JC Online,19/06/2024,6,970 x 250,5576,0,"49,57 ","29,742","R$8,89 ","66,89%"
( Venda Direta SJCC)  UNIVERSIDADE CATOLICA DE PERNAMBUCO,JC Online,19/06/2024,6,970 x 250,4,0,"0,04 ","0,024","R$8,89 ","75,00%"
( Venda Direta SJCC)  UNIVERSIDADE CATOLICA DE PERNAMBUCO,Social 1,19/06/2024,6,970 x 250,678,2,"6,03 ","3,618","R$8,89 ","68,73%"
( Venda Direta SJCC)  UNIVERSIDADE CATOLICA DE PERNAMBUCO,Blog do Torcedor,19/06/2024,6,970 x 250,287,0,"2,55 ","1,53","R$8,89 ","65,85%"
( Venda Direta SJCC)  UNIVERSIDADE CATOLICA DE PERNAMBUCO,JC Online,19/06/2024,6,970 x 250,1,0,"0,01 ","0,006","R$8,89 ","100,00%"
( Venda Direta SJCC)  UNIVERSIDADE CATOLICA DE PERNAMBUCO,Portal NE10,19/06/2024,6,970 x 250,141,0,"1,25 ","0,75","R$8,89 ","61,70%"
( Venda Direta SJCC)  UNIVERSIDADE CATOLICA DE PERNAMBUCO,Rádio Jornal,19/06/2024,6,970 x 250,104,0,"0,92 ","0,552","R$8,89 ","70,19%"
( Venda Direta SJCC)  UNIVERSIDADE CATOLICA DE PERNAMBUCO,TV Jornal,19/06/2024,6,970 x 250,465,1,"4,13 ","2,478","R$8,89 ","60,65%"
( Venda Direta SJCC) PIXBET,Interior,19/06/2024,6,300 x 250,1071,0,"0,00 ","0,0","R$0,00 ","54,72%"
( Venda Direta SJCC) PIXBET,Interior,19/06/2024,6,320 x 50,792,0,"0,00 ","0,0","R$0,00 ","76,39%"
( Venda Direta SJCC) PIXBET,Interior,19/06/2024,6,728 x 90,1014,0,"0,00 ","0,0","R$0,00 ","82,35%"
( Venda Direta SJCC) PIXBET,Interior,19/06/2024,6,970 x 250,294,0,"0,00 ","0,0","R$0,00 ","59,18%"
( Venda Direta SJCC) PIXBET,Interior,19/06/2024,6,970 x 90,3101,3,"0,00 ","0,0","R$0,00 ","74,52%"
(VENDAS DIRETAS SJCC ) VITARELLA,TV Jornal,19/06/2024,6,300 x 250,1155,0,"0,00 ","0,0","R$0,00 ","65,97%"
(VENDAS DIRETAS SJCC ) VITARELLA,TV Jornal,19/06/2024,6,300 x 600,7,0,"0,00 ","0,0","R$0,00 ","71,43%"
(VENDAS DIRETAS SJCC ) VITARELLA,TV Jornal,19/06/2024,6,320 x 50,6585,7,"0,00 ","0,0","R$0,00 ","94,96%"
(VENDAS DIRETAS SJCC ) VITARELLA,TV Jornal,19/06/2024,6,970 x 250,10,0,"0,00 ","0,0","R$0,00 ","50,00%"
(VENDAS DIRETAS SJCC ) VITARELLA,TV Jornal,19/06/2024,6,320 x 50,426,0,"0,00 ","0,0","R$0,00 ","95,77%"
(VENDAS DIRETAS SJCC ) VITARELLA,TV Jornal,19/06/2024,6,300 x 600,53,0,"0,00 ","0,0","R$0,00 ","100,00%"
(VENDAS DIRETAS SJCC ) VITARELLA,TV Jornal,19/06/2024,6,320 x 50,289,1,"0,00 ","0,0","R$0,00 ","97,58%"
(VENDAS DIRETAS SJCC ) VITARELLA,TV Jornal,19/06/2024,6,320 x 50,1,0,"0,00 ","0,0","R$0,00 ","100,00%"
(Venda Direta SJCC) - SICREDI,Portal NE10,19/06/2024,6,320 x 50,4,0,"0,03 ","0,018","R$6,67 ","75,00%"
(Venda Direta SJCC) - SICREDI,Portal NE10,19/06/2024,6,320 x 50,5,0,"0,03 ","0,018","R$6,67 ","100,00%"
(Venda Direta SJCC) - SICREDI,Interior,19/06/2024,6,320 x 50,55,0,"0,37 ","0,222","R$6,67 ","100,00%"
(Venda Direta SJCC) - SICREDI,Interior,19/06/2024,6,320 x 50,177,0,"1,18 ","0,708","R$6,67 ","98,31%"
(Venda Direta SJCC) - SICREDI,Interior,19/06/2024,6,320 x 50,3,0,"0,02 ","0,012","R$6,67 ","66,67%"
(Venda Direta SJCC) - SICREDI,JC Online,19/06/2024,6,300 x 250,203,0,"1,35 ","0,81","R$6,67 ","79,80%"
(Venda Direta SJCC) - SICREDI,JC Online,19/06/2024,6,320 x 50,291,3,"1,94 ","1,164","R$6,67 ","87,93%"
(Venda Direta SJCC) - SICREDI,JC Online,19/06/2024,6,320 x 50,59,0,"0,39 ","0,234","R$6,67 ","98,31%"
(Venda Direta SJCC) - SICREDI,Social 1,19/06/2024,6,300 x 250,2311,1,"15,41 ","9,246","R$6,67 ","69,67%"
(Venda Direta SJCC) - SICREDI,Social 1,19/06/2024,6,320 x 50,1477,1,"9,85 ","5,91","R$6,67 ","95,46%"
(Venda Direta SJCC) - SICREDI,Social 1,19/06/2024,6,320 x 50,21,0,"0,14 ","0,084","R$6,67 ","95,24%"
(Venda Direta SJCC) - SICREDI,Blog do Torcedor,19/06/2024,6,320 x 50,18,0,"0,12 ","0,072","R$6,67 ","33,33%"
(Venda Direta SJCC) - SICREDI,Blog do Torcedor,19/06/2024,6,320 x 50,171,0,"1,14 ","0,684","R$6,67 ","97,08%"
(Venda Direta SJCC) - SICREDI,Portal NE10,19/06/2024,6,320 x 50,1,0,"0,01 ","0,006","R$6,67 ","100,00%"
(Venda Direta SJCC) - SICREDI,Rádio Jornal,19/06/2024,6,320 x 50,25,0,"0,17 ","0,102","R$6,67 ","84,00%"
(Venda Direta SJCC) - SICREDI,Rádio Jornal,19/06/2024,6,320 x 50,11,0,"0,07 ","0,042","R$6,67 ","100,00%"
(Venda Direta SJCC) - SICREDI,TV Jornal,19/06/2024,6,300 x 250,1,0,"0,01 ","0,006","R$6,67 ","0,00%"
(Venda Direta SJCC) - SICREDI,TV Jornal,19/06/2024,6,320 x 50,2,0,"0,01 ","0,006","R$6,67 ","100,00%"
(Venda Direta SJCC) - SICREDI,TV Jornal,19/06/2024,6,320 x 50,2,0,"0,01 ","0,006","R$6,67 ","100,00%"
(Venda Direta SJCC) AURORA,Portal NE10,19/06/2024,6,300 x 250,21,0,"0,00 ","0,0","R$0,00 ","80,95%"
(Venda Direta SJCC) AURORA,Interior,19/06/2024,6,300 x 250,1,0,"0,00 ","0,0","R$0,00 ","0,00%"
(Venda Direta SJCC) AURORA,JC Online,19/06/2024,6,300 x 250,145,0,"0,00 ","0,0","R$0,00 ","66,90%"
(Venda Direta SJCC) AURORA,Social 1,19/06/2024,6,300 x 250,15964,34,"0,00 ","0,0","R$0,00 ","73,72%"
(Venda Direta SJCC) AURORA,Portal NE10,19/06/2024,6,300 x 250,4,0,"0,00 ","0,0","R$0,00 ","75,00%"
(Venda Direta SJCC) AURORA,Rádio Jornal,19/06/2024,6,300 x 250,38,0,"0,00 ","0,0","R$0,00 ","52,63%"
(Venda Direta SJCC) AURORA,Rádio Jornal,19/06/2024,6,300 x 250,2,0,"0,00 ","0,0","R$0,00 ","50,00%"
(Venda Direta SJCC) AURORA,Rádio Jornal,19/06/2024,6,300 x 250,1,0,"0,00 ","0,0","R$0,00 ","0,00%"
(Venda Direta SJCC) AURORA,TV Jornal,19/06/2024,6,300 x 250,27,0,"0,00 ","0,0","R$0,00 ","59,26%"
(Venda Direta SJCC) Armazem coral,Portal NE10,19/06/2024,6,300 x 250,3,0,"0,06 ","0,036","R$21,42 ","33,33%"
(Venda Direta SJCC) Armazem coral,Portal NE10,19/06/2024,6,300 x 250,248,0,"5,31 ","3,186","R$21,42 ","75,40%"
(Venda Direta SJCC) Armazem coral,Portal NE10,19/06/2024,6,300 x 600,210,0,"4,50 ","2,7","R$21,42 ","47,14%"
(Venda Direta SJCC) Armazem coral,Portal NE10,19/06/2024,6,320 x 50,769,0,"16,47 ","9,882","R$21,42 ","72,82%"
(Venda Direta SJCC) Armazem coral,Portal NE10,19/06/2024,6,480 x 360v,1042,0,"0,00 ","0,0","R$0,00 ","55,85%"
(Venda Direta SJCC) Armazem coral,Portal NE10,19/06/2024,6,728 x 90,10,0,"0,21 ","0,126","R$21,42 ","60,00%"
(Venda Direta SJCC) Armazem coral,Portal NE10,19/06/2024,6,970 x 250,5,0,"0,11 ","0,066","R$21,42 ","60,00%"
(Venda Direta SJCC) Armazem coral,Portal NE10,19/06/2024,6,320 x 50,1245,1,"26,67 ","16,002","R$21,42 ","92,85%"
(Venda Direta SJCC) Armazem coral,Portal NE10,19/06/2024,6,728 x 90,1168,0,"25,02 ","15,012","R$21,42 ","98,03%"
(Venda Direta SJCC) Armazem coral,Portal NE10,19/06/2024,6,480 x 360v,1386,2,"0,00 ","0,0","R$0,00 ","87,67%"
(Venda Direta SJCC) Armazem coral,Portal NE10,19/06/2024,6,300 x 250,118,0,"2,53 ","1,518","R$21,42 ","35,59%"
(Venda Direta SJCC) Armazem coral,Portal NE10,19/06/2024,6,480 x 360v,441,0,"0,00 ","0,0","R$0,00 ","93,54%"
(Venda Direta SJCC) Armazem coral,Portal NE10,19/06/2024,6,300 x 250,2,0,"0,04 ","0,024","R$21,42 ","100,00%"
(Venda Direta SJCC) Armazem coral,Portal NE10,19/06/2024,6,320 x 50,1,0,"0,02 ","0,012","R$21,42 ","100,00%"
(Venda Direta SJCC) Armazem coral,JC Online,19/06/2024,6,300 x 250,477,1,"7,14 ","4,284","R$14,96 ","68,97%"
(Venda Direta SJCC) Armazem coral,JC Online,19/06/2024,6,300 x 600,4,0,"0,06 ","0,036","R$14,96 ","50,00%"
(Venda Direta SJCC) Armazem coral,JC Online,19/06/2024,6,320 x 50,5945,3,"88,94 ","53,364","R$14,96 ","91,86%"
(Venda Direta SJCC) Armazem coral,JC Online,19/06/2024,6,480 x 360v,2824,0,"0,00 ","0,0","R$0,00 ","63,92%"
(Venda Direta SJCC) Armazem coral,JC Online,19/06/2024,6,320 x 50,1,0,"0,01 ","0,006","R$14,96 ","100,00%"
(Venda Direta SJCC) Armazem coral,JC Online,19/06/2024,6,480 x 360v,7,0,"0,00 ","0,0","R$0,00 ","85,71%"
(Venda Direta SJCC) Armazem coral,JC Online,19/06/2024,6,480 x 360v,1,0,"0,00 ","0,0","R$0,00 ","100,00%"
(Venda Direta SJCC) Armazem coral,JC Online,19/06/2024,6,320 x 50,673,1,"10,07 ","6,042","R$14,96 ","96,88%"
(Venda Direta SJCC) Armazem coral,JC Online,19/06/2024,6,728 x 90,5,0,"0,07 ","0,042","R$14,96 ","100,00%"
(Venda Direta SJCC) Armazem coral,JC Online,19/06/2024,6,480 x 360v,1085,12,"0,00 ","0,0","R$0,00 ","88,81%"
(Venda Direta SJCC) Armazem coral,JC Online,19/06/2024,6,300 x 250,1,0,"0,01 ","0,006","R$14,96 ","0,00%"
(Venda Direta SJCC) Armazem coral,JC Online,19/06/2024,6,480 x 360v,100,0,"0,00 ","0,0","R$0,00 ","81,00%"
(Venda Direta SJCC) Armazem coral,Portal NE10,19/06/2024,6,300 x 250,868,0,"18,59 ","11,154","R$21,42 ","66,01%"
(Venda Direta SJCC) Armazem coral,Portal NE10,19/06/2024,6,300 x 600,343,0,"7,35 ","4,41","R$21,42 ","80,47%"
(Venda Direta SJCC) Armazem coral,Portal NE10,19/06/2024,6,320 x 50,678,0,"14,52 ","8,712","R$21,42 ","78,29%"
(Venda Direta SJCC) Armazem coral,Portal NE10,19/06/2024,6,480 x 360v,639,0,"0,00 ","0,0","R$0,00 ","59,40%"
(Venda Direta SJCC) Armazem coral,Portal NE10,19/06/2024,6,728 x 90,3,0,"0,06 ","0,036","R$21,42 ","66,67%"
(Venda Direta SJCC) Armazem coral,Portal NE10,19/06/2024,6,320 x 50,123,0,"2,63 ","1,578","R$21,42 ","97,56%"
(Venda Direta SJCC) Armazem coral,Portal NE10,19/06/2024,6,728 x 90,687,0,"14,72 ","8,832","R$21,42 ","97,67%"
(Venda Direta SJCC) Armazem coral,Portal NE10,19/06/2024,6,480 x 360v,35,1,"0,00 ","0,0","R$0,00 ","97,14%"
(Venda Direta SJCC) Armazem coral,Portal NE10,19/06/2024,6,480 x 360v,2,0,"0,00 ","0,0","R$0,00 ","50,00%"
(Venda Direta SJCC) BANCO DO NORDESTE,Portal NE10,19/06/2024,6,300 x 250,1254,0,"18,34 ","11,004","R$14,62 ","58,85%"
(Venda Direta SJCC) BANCO DO NORDESTE,Portal NE10,19/06/2024,6,300 x 250,200,0,"1,63 ","0,978","R$8,14 ","69,00%"
(Venda Direta SJCC) BANCO DO NORDESTE,Interior,19/06/2024,6,300 x 250,623,0,"15,38 ","9,228","R$24,68 ","60,83%"
(Venda Direta SJCC) BANCO DO NORDESTE,Interior,19/06/2024,6,300 x 250,120,0,"2,96 ","1,776","R$24,68 ","48,33%"
(Venda Direta SJCC) BANCO DO NORDESTE,Interior,19/06/2024,6,300 x 250,1354,0,"33,42 ","20,052","R$24,68 ","46,38%"
(Venda Direta SJCC) BANCO DO NORDESTE,Portal NE10,19/06/2024,6,300 x 250,381,0,"4,84 ","2,904","R$12,70 ","60,10%"
(Venda Direta SJCC) BANCO DO NORDESTE,Portal NE10,19/06/2024,6,300 x 250,1,0,"0,02 ","0,012","R$24,68 ","0,00%"
(Venda Direta SJCC) CLEVER GESTL LTDA,Portal NE10,19/06/2024,6,300 x 250,3164,0,"0,00 ","0,0","R$0,00 ","23,36%"
(Venda Direta SJCC) CLEVER GESTL LTDA,Portal NE10,19/06/2024,6,300 x 350,2310,0,"11,55 ","6,93","R$5,00 ","4,63%"
(Venda Direta SJCC) CLEVER GESTL LTDA,Portal NE10,19/06/2024,6,300 x 250,2,0,"0,00 ","0,0","R$0,00 ","50,00%"
(Venda Direta SJCC) CLEVER GESTL LTDA,Interior,19/06/2024,6,300 x 250,57698,0,"0,00 ","0,0","R$0,00 ","27,78%"
(Venda Direta SJCC) CLEVER GESTL LTDA,Interior,19/06/2024,6,300 x 250,311,0,"0,00 ","0,0","R$0,00 ","72,67%"
(Venda Direta SJCC) CLEVER GESTL LTDA,Interior,19/06/2024,6,300 x 250,764,0,"0,00 ","0,0","R$0,00 ","24,08%"
(Venda Direta SJCC) CLEVER GESTL LTDA,JC Online,19/06/2024,6,300 x 250,20055,0,"0,00 ","0,0","R$0,00 ","37,71%"
(Venda Direta SJCC) CLEVER GESTL LTDA,JC Online,19/06/2024,6,300 x 350,16262,0,"81,31 ","48,786","R$5,00 ","3,47%"
(Venda Direta SJCC) CLEVER GESTL LTDA,JC Online,19/06/2024,6,300 x 250,13,0,"0,00 ","0,0","R$0,00 ","0,00%"
(Venda Direta SJCC) CLEVER GESTL LTDA,Portal NE10,19/06/2024,6,300 x 250,1,0,"0,00 ","0,0","R$0,00 ","0,00%"
(Venda Direta SJCC) CLEVER GESTL LTDA,Social 1,19/06/2024,6,300 x 250,3060,0,"0,00 ","0,0","R$0,00 ","7,94%"
(Venda Direta SJCC) CLEVER GESTL LTDA,Social 1,19/06/2024,6,300 x 350,400800,0,"2004,00 ","1202,4","R$5,00 ","4,18%"
(Venda Direta SJCC) CLEVER GESTL LTDA,Blog do Torcedor,19/06/2024,6,300 x 350,20955,0,"104,78 ","62,868","R$5,00 ","2,90%"
(Venda Direta SJCC) CLEVER GESTL LTDA,JC Online,19/06/2024,6,300 x 250,753,0,"0,00 ","0,0","R$0,00 ","36,25%"
(Venda Direta SJCC) CLEVER GESTL LTDA,Rádio Jornal,19/06/2024,6,300 x 250,4501,0,"0,00 ","0,0","R$0,00 ","50,40%"
(Venda Direta SJCC) CLEVER GESTL LTDA,Rádio Jornal,19/06/2024,6,1 x 1,49490,0,"0,00 ","0,0","R$0,00 ","98,38%"
(Venda Direta SJCC) CLEVER GESTL LTDA,Rádio Jornal,19/06/2024,6,300 x 250,4,0,"0,00 ","0,0","R$0,00 ","50,00%"
(Venda Direta SJCC) CLEVER GESTL LTDA,Rádio Jornal,19/06/2024,6,300 x 250,18,0,"0,00 ","0,0","R$0,00 ","5,56%"
(Venda Direta SJCC) CLEVER GESTL LTDA,TV Jornal,19/06/2024,6,300 x 250,1442,0,"0,00 ","0,0","R$0,00 ","23,72%"
(Venda Direta SJCC) CLEVER GESTL LTDA,TV Jornal,19/06/2024,6,300 x 350,17177,0,"43,41 ","26,046","R$2,53 ","2,10%"
