Anunciante,Bloco de anúncios,Data,Mês,Tamanho do criativo,Total de impressões,Total de cliques,Receita Bruta (R$),Receita Líquida,eCPM médio total (R$),Porcentagem do total de impressões visíveis do Active View
( Venda Direta SJCC)  UNIVERSIDADE CATOLICA DE PERNAMBUCO,Portal NE10,11/06/2024,6,970 x 250,336,1,"2,99 ","1,794","R$8,89 ","65,18%"
( Venda Direta SJCC)  UNIVERSIDADE CATOLICA DE PERNAMBUCO,Portal NE10,11/06/2024,6,970 x 250,1,0,"0,01 ","0,006","R$8,89 ","100,00%"
( Venda Direta SJCC)  UNIVERSIDADE CATOLICA DE PERNAMBUCO,Portal NE10,11/06/2024,6,970 x 250,170,0,"1,51 ","0,906","R$8,89 ","73,53%"
( Venda Direta SJCC)  UNIVERSIDADE CATOLICA DE PERNAMBUCO,Interior,11/06/2024,6,970 x 250,2099,0,"18,66 ","11,196","R$8,89 ","64,51%"
( Venda Direta SJCC)  UNIVERSIDADE CATOLICA DE PERNAMBUCO,Interior,11/06/2024,6,970 x 250,2,0,"0,02 ","0,012","R$8,89 ","50,00%"
( Venda Direta SJCC)  UNIVERSIDADE CATOLICA DE PERNAMBUCO,Portal NE10,11/06/2024,6,970 x 250,3,0,"0,03 ","0,018","R$8,89 ","33,33%"
( Venda Direta SJCC)  UNIVERSIDADE CATOLICA DE PERNAMBUCO,JC Online,11/06/2024,6,970 x 250,4398,4,"39,10 ","23,46","R$8,89 ","67,55%"
( Venda Direta SJCC)  UNIVERSIDADE CATOLICA DE PERNAMBUCO,JC Online,11/06/2024,6,970 x 250,27,0,"0,24 ","0,144","R$8,89 ","92,59%"
( Venda Direta SJCC)  UNIVERSIDADE CATOLICA DE PERNAMBUCO,Social 1,11/06/2024,6,970 x 250,868,0,"7,72 ","4,632","R$8,89 ","58,64%"
( Venda Direta SJCC)  UNIVERSIDADE CATOLICA DE PERNAMBUCO,Blog do Torcedor,11/06/2024,6,970 x 250,258,1,"2,29 ","1,374","R$8,89 ","45,74%"
( Venda Direta SJCC)  UNIVERSIDADE CATOLICA DE PERNAMBUCO,JC Online,11/06/2024,6,970 x 250,1,0,"0,01 ","0,006","R$8,89 ","100,00%"
( Venda Direta SJCC)  UNIVERSIDADE CATOLICA DE PERNAMBUCO,Portal NE10,11/06/2024,6,970 x 250,252,2,"2,24 ","1,344","R$8,89 ","50,79%"
( Venda Direta SJCC)  UNIVERSIDADE CATOLICA DE PERNAMBUCO,Rádio Jornal,11/06/2024,6,970 x 250,289,0,"2,57 ","1,542","R$8,89 ","57,79%"
( Venda Direta SJCC)  UNIVERSIDADE CATOLICA DE PERNAMBUCO,TV Jornal,11/06/2024,6,970 x 250,997,1,"8,86 ","5,316","R$8,89 ","70,61%"
( Venda Direta SJCC) PIXBET,Interior,11/06/2024,6,300 x 250,1208,0,"0,00 ","0,0","R$0,00 ","55,71%"
( Venda Direta SJCC) PIXBET,Interior,11/06/2024,6,320 x 50,869,0,"0,00 ","0,0","R$0,00 ","89,76%"
( Venda Direta SJCC) PIXBET,Interior,11/06/2024,6,728 x 90,9535,0,"0,00 ","0,0","R$0,00 ","87,04%"
( Venda Direta SJCC) PIXBET,Interior,11/06/2024,6,970 x 250,1147,0,"0,00 ","0,0","R$0,00 ","86,49%"
( Venda Direta SJCC) PIXBET,Interior,11/06/2024,6,970 x 90,11791,2,"0,00 ","0,0","R$0,00 ","86,95%"
(Venda Direta SJCC) - SICREDI,Rádio Jornal,11/06/2024,6,300 x 250,2510,4,"16,73 ","10,038","R$6,67 ","64,26%"
