Anunciante,Bloco de anúncios,Data,Mês,Tamanho do criativo,Total de impressões,Total de cliques,Receita Bruta (R$),Receita Líquida,eCPM médio total (R$),Porcentagem do total de impressões visíveis do Active View
( Venda Direta SJCC)  UNIVERSIDADE CATOLICA DE PERNAMBUCO,Portal NE10,28/06/2024,6,970 x 250,225,0,"2,00 ","1,2","R$8,89 ","64,44%"
( Venda Direta SJCC)  UNIVERSIDADE CATOLICA DE PERNAMBUCO,Portal NE10,29/06/2024,6,970 x 250,100,0,"0,89 ","0,534","R$8,89 ","63,00%"
( Venda Direta SJCC)  UNIVERSIDADE CATOLICA DE PERNAMBUCO,Portal NE10,30/06/2024,6,970 x 250,57,0,"0,51 ","0,306","R$8,89 ","42,11%"
( Venda Direta SJCC)  UNIVERSIDADE CATOLICA DE PERNAMBUCO,Portal NE10,28/06/2024,6,970 x 250,426,0,"3,79 ","2,274","R$8,89 ","68,54%"
( Venda Direta SJCC)  UNIVERSIDADE CATOLICA DE PERNAMBUCO,Portal NE10,29/06/2024,6,970 x 250,214,0,"1,90 ","1,14","R$8,89 ","72,43%"
( Venda Direta SJCC)  UNIVERSIDADE CATOLICA DE PERNAMBUCO,Portal NE10,30/06/2024,6,970 x 250,282,0,"2,51 ","1,506","R$8,89 ","78,37%"
( Venda Direta SJCC)  UNIVERSIDADE CATOLICA DE PERNAMBUCO,Interior,28/06/2024,6,970 x 250,790,0,"7,02 ","4,212","R$8,89 ","65,06%"
( Venda Direta SJCC)  UNIVERSIDADE CATOLICA DE PERNAMBUCO,Interior,29/06/2024,6,970 x 250,288,0,"2,56 ","1,536","R$8,89 ","69,10%"
( Venda Direta SJCC)  UNIVERSIDADE CATOLICA DE PERNAMBUCO,Interior,30/06/2024,6,970 x 250,164,1,"1,46 ","0,876","R$8,89 ","77,44%"
( Venda Direta SJCC)  UNIVERSIDADE CATOLICA DE PERNAMBUCO,Interior,28/06/2024,6,970 x 250,9,0,"0,08 ","0,048","R$8,89 ","55,56%"
( Venda Direta SJCC)  UNIVERSIDADE CATOLICA DE PERNAMBUCO,Interior,29/06/2024,6,970 x 250,9,0,"0,08 ","0,048","R$8,89 ","22,22%"
( Venda Direta SJCC)  UNIVERSIDADE CATOLICA DE PERNAMBUCO,Portal NE10,28/06/2024,6,970 x 250,1,0,"0,01 ","0,006","R$8,89 ","100,00%"
( Venda Direta SJCC)  UNIVERSIDADE CATOLICA DE PERNAMBUCO,Portal NE10,30/06/2024,6,970 x 250,1,0,"0,01 ","0,006","R$8,89 ","100,00%"
( Venda Direta SJCC)  UNIVERSIDADE CATOLICA DE PERNAMBUCO,JC Online,28/06/2024,6,970 x 250,3997,0,"35,53 ","21,318","R$8,89 ","65,75%"
( Venda Direta SJCC)  UNIVERSIDADE CATOLICA DE PERNAMBUCO,JC Online,29/06/2024,6,970 x 250,2450,0,"21,78 ","13,068","R$8,89 ","68,90%"
( Venda Direta SJCC)  UNIVERSIDADE CATOLICA DE PERNAMBUCO,JC Online,30/06/2024,6,970 x 250,1564,0,"13,90 ","8,34","R$8,89 ","69,88%"
( Venda Direta SJCC)  UNIVERSIDADE CATOLICA DE PERNAMBUCO,JC Online,28/06/2024,6,970 x 250,2,0,"0,02 ","0,012","R$8,89 ","0,00%"
( Venda Direta SJCC)  UNIVERSIDADE CATOLICA DE PERNAMBUCO,JC Online,29/06/2024,6,970 x 250,1,0,"0,01 ","0,006","R$8,89 ","100,00%"
( Venda Direta SJCC)  UNIVERSIDADE CATOLICA DE PERNAMBUCO,JC Online,30/06/2024,6,970 x 250,2,0,"0,02 ","0,012","R$8,89 ","100,00%"
( Venda Direta SJCC)  UNIVERSIDADE CATOLICA DE PERNAMBUCO,Social 1,28/06/2024,6,970 x 250,242,0,"2,15 ","1,29","R$8,89 ","56,61%"
( Venda Direta SJCC)  UNIVERSIDADE CATOLICA DE PERNAMBUCO,Social 1,29/06/2024,6,970 x 250,213,0,"1,89 ","1,134","R$8,89 ","69,48%"
( Venda Direta SJCC)  UNIVERSIDADE CATOLICA DE PERNAMBUCO,Social 1,30/06/2024,6,970 x 250,130,0,"1,16 ","0,696","R$8,89 ","62,31%"
( Venda Direta SJCC)  UNIVERSIDADE CATOLICA DE PERNAMBUCO,Blog do Torcedor,28/06/2024,6,970 x 250,577,0,"5,13 ","3,078","R$8,89 ","49,05%"
( Venda Direta SJCC)  UNIVERSIDADE CATOLICA DE PERNAMBUCO,Blog do Torcedor,29/06/2024,6,970 x 250,310,0,"2,76 ","1,656","R$8,89 ","55,81%"
( Venda Direta SJCC)  UNIVERSIDADE CATOLICA DE PERNAMBUCO,Blog do Torcedor,30/06/2024,6,970 x 250,163,0,"1,45 ","0,87","R$8,89 ","67,48%"
( Venda Direta SJCC)  UNIVERSIDADE CATOLICA DE PERNAMBUCO,JC Online,29/06/2024,6,970 x 250,1,0,"0,01 ","0,006","R$8,89 ","100,00%"
( Venda Direta SJCC)  UNIVERSIDADE CATOLICA DE PERNAMBUCO,JC Online,30/06/2024,6,970 x 250,3,0,"0,03 ","0,018","R$8,89 ","100,00%"
( Venda Direta SJCC)  UNIVERSIDADE CATOLICA DE PERNAMBUCO,Portal NE10,28/06/2024,6,970 x 250,100,0,"0,89 ","0,534","R$8,89 ","55,00%"
( Venda Direta SJCC)  UNIVERSIDADE CATOLICA DE PERNAMBUCO,Portal NE10,29/06/2024,6,970 x 250,139,0,"1,24 ","0,744","R$8,89 ","81,29%"
( Venda Direta SJCC)  UNIVERSIDADE CATOLICA DE PERNAMBUCO,Portal NE10,30/06/2024,6,970 x 250,59,0,"0,52 ","0,312","R$8,89 ","94,92%"
( Venda Direta SJCC)  UNIVERSIDADE CATOLICA DE PERNAMBUCO,Rádio Jornal,28/06/2024,6,970 x 250,56,0,"0,50 ","0,3","R$8,89 ","55,36%"
( Venda Direta SJCC)  UNIVERSIDADE CATOLICA DE PERNAMBUCO,Rádio Jornal,29/06/2024,6,970 x 250,49,0,"0,44 ","0,264","R$8,89 ","71,43%"
( Venda Direta SJCC)  UNIVERSIDADE CATOLICA DE PERNAMBUCO,Rádio Jornal,30/06/2024,6,970 x 250,42,0,"0,37 ","0,222","R$8,89 ","73,81%"
( Venda Direta SJCC)  UNIVERSIDADE CATOLICA DE PERNAMBUCO,TV Jornal,28/06/2024,6,970 x 250,365,0,"3,24 ","1,944","R$8,89 ","46,58%"
( Venda Direta SJCC)  UNIVERSIDADE CATOLICA DE PERNAMBUCO,TV Jornal,29/06/2024,6,970 x 250,112,0,"1,00 ","0,6","R$8,89 ","62,50%"
( Venda Direta SJCC)  UNIVERSIDADE CATOLICA DE PERNAMBUCO,TV Jornal,30/06/2024,6,970 x 250,77,0,"0,68 ","0,408","R$8,89 ","53,25%"
( Venda Direta SJCC) SARAU AGENCIA DE CULTURA BRASILEIRA LTDA,Portal NE10,28/06/2024,6,1 x 1,5,0,"0,00 ","0,0","R$0,00 ","60,00%"
( Venda Direta SJCC) SARAU AGENCIA DE CULTURA BRASILEIRA LTDA,Portal NE10,28/06/2024,6,300 x 250,20,1,"0,00 ","0,0","R$0,00 ","90,00%"
( Venda Direta SJCC) SARAU AGENCIA DE CULTURA BRASILEIRA LTDA,Portal NE10,28/06/2024,6,1 x 1,4,0,"0,00 ","0,0","R$0,00 ","75,00%"
( Venda Direta SJCC) SARAU AGENCIA DE CULTURA BRASILEIRA LTDA,Portal NE10,28/06/2024,6,300 x 250,43,0,"0,00 ","0,0","R$0,00 ","79,07%"
( Venda Direta SJCC) SARAU AGENCIA DE CULTURA BRASILEIRA LTDA,Portal NE10,28/06/2024,6,300 x 250,6,0,"0,00 ","0,0","R$0,00 ","66,67%"
( Venda Direta SJCC) SARAU AGENCIA DE CULTURA BRASILEIRA LTDA,Interior,28/06/2024,6,1 x 1,185,0,"0,00 ","0,0","R$0,00 ","78,38%"
( Venda Direta SJCC) SARAU AGENCIA DE CULTURA BRASILEIRA LTDA,Interior,28/06/2024,6,300 x 250,589,0,"0,00 ","0,0","R$0,00 ","63,33%"
( Venda Direta SJCC) SARAU AGENCIA DE CULTURA BRASILEIRA LTDA,Interior,28/06/2024,6,1 x 1,6,0,"0,00 ","0,0","R$0,00 ","50,00%"
( Venda Direta SJCC) SARAU AGENCIA DE CULTURA BRASILEIRA LTDA,Interior,28/06/2024,6,300 x 250,81,0,"0,00 ","0,0","R$0,00 ","53,09%"
( Venda Direta SJCC) SARAU AGENCIA DE CULTURA BRASILEIRA LTDA,Interior,28/06/2024,6,1 x 1,4,0,"0,00 ","0,0","R$0,00 ","100,00%"
( Venda Direta SJCC) SARAU AGENCIA DE CULTURA BRASILEIRA LTDA,Interior,28/06/2024,6,300 x 250,55,1,"0,00 ","0,0","R$0,00 ","81,82%"
( Venda Direta SJCC) SARAU AGENCIA DE CULTURA BRASILEIRA LTDA,JC Online,28/06/2024,6,300 x 250,3431,7,"0,00 ","0,0","R$0,00 ","61,11%"
( Venda Direta SJCC) SARAU AGENCIA DE CULTURA BRASILEIRA LTDA,Portal NE10,28/06/2024,6,300 x 250,1,0,"0,00 ","0,0","R$0,00 ","0,00%"
( Venda Direta SJCC) SARAU AGENCIA DE CULTURA BRASILEIRA LTDA,Social 1,28/06/2024,6,300 x 250,5937,16,"0,00 ","0,0","R$0,00 ","73,32%"
( Venda Direta SJCC) SARAU AGENCIA DE CULTURA BRASILEIRA LTDA,Social 1,28/06/2024,6,1 x 1,4475,12,"0,00 ","0,0","R$0,00 ","42,86%"
( Venda Direta SJCC) SARAU AGENCIA DE CULTURA BRASILEIRA LTDA,Blog do Torcedor,28/06/2024,6,300 x 250,623,2,"0,00 ","0,0","R$0,00 ","51,20%"
( Venda Direta SJCC) SARAU AGENCIA DE CULTURA BRASILEIRA LTDA,Blog do Torcedor,28/06/2024,6,1 x 1,18,0,"0,00 ","0,0","R$0,00 ","50,00%"
( Venda Direta SJCC) SARAU AGENCIA DE CULTURA BRASILEIRA LTDA,JC Online,28/06/2024,6,300 x 250,80,0,"0,00 ","0,0","R$0,00 ","62,50%"
( Venda Direta SJCC) SARAU AGENCIA DE CULTURA BRASILEIRA LTDA,Portal NE10,28/06/2024,6,300 x 250,54,0,"0,00 ","0,0","R$0,00 ","62,96%"
( Venda Direta SJCC) SARAU AGENCIA DE CULTURA BRASILEIRA LTDA,Portal NE10,28/06/2024,6,1 x 1,1,0,"0,00 ","0,0","R$0,00 ","0,00%"
( Venda Direta SJCC) SARAU AGENCIA DE CULTURA BRASILEIRA LTDA,Rádio Jornal,28/06/2024,6,1 x 1,7,0,"0,00 ","0,0","R$0,00 ","57,14%"
( Venda Direta SJCC) SARAU AGENCIA DE CULTURA BRASILEIRA LTDA,Rádio Jornal,28/06/2024,6,300 x 250,66,0,"0,00 ","0,0","R$0,00 ","56,06%"
( Venda Direta SJCC) SARAU AGENCIA DE CULTURA BRASILEIRA LTDA,Rádio Jornal,28/06/2024,6,1 x 1,66,0,"0,00 ","0,0","R$0,00 ","48,48%"
( Venda Direta SJCC) SARAU AGENCIA DE CULTURA BRASILEIRA LTDA,Rádio Jornal,28/06/2024,6,300 x 250,578,3,"0,00 ","0,0","R$0,00 ","76,30%"
( Venda Direta SJCC) SARAU AGENCIA DE CULTURA BRASILEIRA LTDA,TV Jornal,28/06/2024,6,1 x 1,1,0,"0,00 ","0,0","R$0,00 ","100,00%"
( Venda Direta SJCC) SARAU AGENCIA DE CULTURA BRASILEIRA LTDA,TV Jornal,28/06/2024,6,300 x 250,384,0,"0,00 ","0,0","R$0,00 ","64,58%"
( Venda Direta SJCC) SARAU AGENCIA DE CULTURA BRASILEIRA LTDA,TV Jornal,28/06/2024,6,1 x 1,114,0,"0,00 ","0,0","R$0,00 ","50,88%"
(VENDAS DIRETAS SJCC ) VITARELLA,Portal NE10,28/06/2024,6,320 x 50,3,0,"0,00 ","0,0","R$0,00 ","66,67%"
