Anunciante,Bloco de anúncios,Data,Mês,Tamanho do criativo,Total de impressões,Total de cliques,Receita Bruta (R$),Receita Líquida,eCPM médio total (R$),Porcentagem do total de impressões visíveis do Active View
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Interior,20/05/2024,5,300 x 250,1955,3,R$18.38 ,11.028,R$9.40 ,63.32%
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Interior,20/05/2024,5,320 x 50,155,0,R$1.46 ,0.876,R$9.40 ,76.47%
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Interior,20/05/2024,5,970 x 250,2,0,R$0.02 ,0.012,R$9.40 ,50.00%
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Interior,20/05/2024,5,320 x 50,2076,2,R$19.51 ,11.706,R$9.40 ,96.68%
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Interior,20/05/2024,5,300 x 250,138,0,R$1.30 ,0.78,R$9.40 ,53.62%
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Interior,20/05/2024,5,320 x 50,1,0,R$0.01 ,0.006,R$9.40 ,0.00%
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Interior,20/05/2024,5,300 x 250,4,0,R$0.04 ,0.024,R$9.40 ,0.00%
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Interior,20/05/2024,5,320 x 50,54,0,R$0.51 ,0.306,R$9.40 ,98.15%
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Rádio Jornal,20/05/2024,5,300 x 250,912,1,R$8.57 ,5.142,R$9.40 ,56.44%
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Rádio Jornal,20/05/2024,5,320 x 50,587,0,R$5.52 ,3.312,R$9.40 ,80.85%
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Rádio Jornal,20/05/2024,5,320 x 50,253,1,R$2.38 ,1.428,R$9.40 ,96.84%
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Rádio Jornal,20/05/2024,5,320 x 50,3,0,R$0.03 ,0.018,R$9.40 ,100.00%
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Rádio Jornal,20/05/2024,5,320 x 50,1553,1,R$14.60 ,8.76,R$9.40 ,99.36%
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Rádio Jornal,20/05/2024,5,300 x 250,15,0,R$0.14 ,0.084,R$9.40 ,80.00%
( Projeto SJCC ) - (SBT Nordeste - Copa do Nordeste),TV Jornal,20/05/2024,5,300 x 250,1217,2,R$11.44 ,6.864,R$9.40 ,60.15%
( Projeto SJCC ) - (SBT Nordeste - Copa do Nordeste),TV Jornal,20/05/2024,5,320 x 50,3456,2,R$32.49 ,19.494,R$9.40 ,96.09%
( Projeto SJCC ) - (SBT Nordeste - Copa do Nordeste),TV Jornal,20/05/2024,5,728 x 90,175,0,R$1.65 ,0.99,R$9.40 ,99.43%
( Projeto SJCC ) - (SBT Nordeste - Copa do Nordeste),TV Jornal,20/05/2024,5,320 x 50,404,1,R$3.80 ,2.28,R$9.40 ,98.51%
( Projeto SJCC ) - (SBT Nordeste - Copa do Nordeste),TV Jornal,20/05/2024,5,728 x 90,22,0,R$0.21 ,0.126,R$9.40 ,100.00%
( Projeto SJCC ) - (SBT Nordeste - Copa do Nordeste),TV Jornal,20/05/2024,5,300 x 250,2,0,R$0.02 ,0.012,R$9.40 ,100.00%
( Projeto SJCC) -  (Marketing Recife Copa do Nordeste),Portal NE10,20/05/2024,5,300 x 250,355,0,R$1.33 ,0.798,R$3.74 ,70.42%
( Projeto SJCC) -  (Marketing Recife Copa do Nordeste),Portal NE10,20/05/2024,5,320 x 50,444,0,R$1.66 ,0.996,R$3.74 ,78.15%
( Projeto SJCC) -  (Marketing Recife Copa do Nordeste),Portal NE10,20/05/2024,5,970 x 250,17,0,R$0.06 ,0.036,R$3.74 ,58.82%
( Projeto SJCC) -  (Marketing Recife Copa do Nordeste),Portal NE10,20/05/2024,5,320 x 50,739,0,R$2.76 ,1.656,R$3.74 ,96.62%
( Projeto SJCC) -  (Marketing Recife Copa do Nordeste),Portal NE10,20/05/2024,5,300 x 250,74,0,R$0.28 ,0.168,R$3.74 ,55.41%
( Projeto SJCC) -  (Marketing Recife Copa do Nordeste),JC Online,20/05/2024,5,300 x 250,1807,2,R$6.76 ,4.056,R$3.74 ,67.31%
( Projeto SJCC) -  (Marketing Recife Copa do Nordeste),JC Online,20/05/2024,5,320 x 50,1867,3,R$6.98 ,4.188,R$3.74 ,82.73%
( Projeto SJCC) -  (Marketing Recife Copa do Nordeste),JC Online,20/05/2024,5,320 x 50,463,0,R$1.73 ,1.038,R$3.74 ,97.62%
( Projeto SJCC) -  (Marketing Recife Copa do Nordeste),JC Online,20/05/2024,5,300 x 250,2,0,R$0.01 ,0.006,R$3.74 ,50.00%
( Projeto SJCC) -  (Marketing Recife Copa do Nordeste),Portal NE10,20/05/2024,5,300 x 250,1479,1,R$5.53 ,3.318,R$3.74 ,62.20%
( Projeto SJCC) -  (Marketing Recife Copa do Nordeste),Portal NE10,20/05/2024,5,320 x 50,1067,0,R$3.99 ,2.394,R$3.74 ,77.86%
( Projeto SJCC) -  (Marketing Recife Copa do Nordeste),Portal NE10,20/05/2024,5,970 x 250,5,0,R$0.02 ,0.012,R$3.74 ,60.00%
( Projeto SJCC) -  (Marketing Recife Copa do Nordeste),Portal NE10,20/05/2024,5,320 x 50,516,1,R$1.93 ,1.158,R$3.74 ,95.16%
( Projeto SJCC) -  (Marketing Recife Copa do Nordeste),Portal NE10,20/05/2024,5,300 x 250,47,0,R$0.18 ,0.108,R$3.74 ,63.83%
( Venda Direta SJCC)  UNIVERSIDADE CATOLICA DE PERNAMBUCO,JC Online,20/05/2024,5,970 x 250,7016,3,R$62.37 ,37.422,R$8.89 ,70.70%
( Venda Direta SJCC)  UNIVERSIDADE CATOLICA DE PERNAMBUCO,JC Online,20/05/2024,5,970 x 250,2,0,R$0.02 ,0.012,R$8.89 ,0.00%
( Venda Direta SJCC)  UNIVERSIDADE CATOLICA DE PERNAMBUCO,Social 1,20/05/2024,5,970 x 250,429,0,R$3.81 ,2.286,R$8.89 ,64.10%
( Venda Direta SJCC)  UNIVERSIDADE CATOLICA DE PERNAMBUCO,Blog do Torcedor,20/05/2024,5,970 x 250,418,0,R$3.72 ,2.232,R$8.89 ,73.21%
( Venda Direta SJCC)  UNIVERSIDADE CATOLICA DE PERNAMBUCO,JC Online,20/05/2024,5,970 x 250,1,0,R$0.01 ,0.006,R$8.89 ,100.00%
( Venda Direta SJCC)  UNIVERSIDADE CATOLICA DE PERNAMBUCO,JC Online,20/05/2024,5,970 x 250,2,0,R$0.02 ,0.012,R$8.89 ,50.00%
(Venda Direta SJCC) - SICREDI,Rádio Jornal,20/05/2024,5,300 x 250,1260,3,R$8.40 ,5.04,R$6.67 ,57.36%
(Venda Direta SJCC) - SICREDI,Rádio Jornal,20/05/2024,5,320 x 50,1150,2,R$7.67 ,4.602,R$6.67 ,79.14%
(Venda Direta SJCC) - SICREDI,Rádio Jornal,20/05/2024,5,320 x 50,326,0,R$2.17 ,1.302,R$6.67 ,98.47%
(Venda Direta SJCC) - SICREDI,Rádio Jornal,20/05/2024,5,320 x 50,3,0,R$0.02 ,0.012,R$6.67 ,66.67%
(Venda Direta SJCC) - SICREDI,Rádio Jornal,20/05/2024,5,300 x 600,72,0,R$0.48 ,0.288,R$6.67 ,98.61%
(Venda Direta SJCC) - SICREDI,Rádio Jornal,20/05/2024,5,320 x 50,885,0,R$5.90 ,3.54,R$6.67 ,98.98%
(Venda Direta SJCC) - SICREDI,Rádio Jornal,20/05/2024,5,300 x 250,650,0,R$4.33 ,2.598,R$6.67 ,75.50%
(Venda Direta SJCC) - SICREDI,Rádio Jornal,20/05/2024,5,320 x 50,18,0,R$0.12 ,0.072,R$6.67 ,55.56%
(Venda Direta SJCC) - SICREDI,Rádio Jornal,20/05/2024,5,300 x 250,43,0,R$0.29 ,0.174,R$6.67 ,72.09%
(Venda Direta SJCC) Armazem coral,Portal NE10,20/05/2024,5,300 x 250,1,0,R$0.02 ,0.012,R$21.42 ,0.00%
(Venda Direta SJCC) Armazem coral,Portal NE10,20/05/2024,5,320 x 50,1,0,R$0.02 ,0.012,R$21.42 ,100.00%
(Venda Direta SJCC) Armazem coral,Portal NE10,20/05/2024,5,480 x 360v,1,0,R$0.00 ,0.0,R$0.00 ,0.00%
(Venda Direta SJCC) Armazem coral,Portal NE10,20/05/2024,5,300 x 250,619,1,R$13.26 ,7.956,R$21.42 ,69.47%
(Venda Direta SJCC) Armazem coral,Portal NE10,20/05/2024,5,300 x 600,25,0,R$0.54 ,0.324,R$21.42 ,44.00%
(Venda Direta SJCC) Armazem coral,Portal NE10,20/05/2024,5,320 x 50,700,1,R$14.99 ,8.994,R$21.42 ,79.71%
(Venda Direta SJCC) Armazem coral,Portal NE10,20/05/2024,5,480 x 360v,1581,0,R$0.00 ,0.0,R$0.00 ,57.14%
(Venda Direta SJCC) Armazem coral,Portal NE10,20/05/2024,5,728 x 90,13,0,R$0.28 ,0.168,R$21.42 ,69.23%
(Venda Direta SJCC) Armazem coral,Portal NE10,20/05/2024,5,970 x 250,14,0,R$0.30 ,0.18,R$21.42 ,78.57%
(Venda Direta SJCC) Armazem coral,Portal NE10,20/05/2024,5,320 x 50,1076,0,R$23.05 ,13.83,R$21.42 ,95.35%
(Venda Direta SJCC) Armazem coral,Portal NE10,20/05/2024,5,728 x 90,159,0,R$3.41 ,2.046,R$21.42 ,96.23%
(Venda Direta SJCC) Armazem coral,Portal NE10,20/05/2024,5,480 x 360v,983,10,R$0.00 ,0.0,R$0.00 ,81.45%
(Venda Direta SJCC) Armazem coral,Portal NE10,20/05/2024,5,300 x 250,128,0,R$2.74 ,1.644,R$21.42 ,54.69%
(Venda Direta SJCC) Armazem coral,Portal NE10,20/05/2024,5,480 x 360v,200,0,R$0.00 ,0.0,R$0.00 ,78.00%
(Venda Direta SJCC) Armazem coral,Portal NE10,20/05/2024,5,480 x 360v,42,0,R$0.00 ,0.0,R$0.00 ,97.56%
(Venda Direta SJCC) Armazem coral,Portal NE10,20/05/2024,5,300 x 250,10,0,R$0.21 ,0.126,R$21.42 ,40.00%
(Venda Direta SJCC) Armazem coral,Portal NE10,20/05/2024,5,320 x 50,5,0,R$0.11 ,0.066,R$21.42 ,60.00%
(Venda Direta SJCC) Armazem coral,Portal NE10,20/05/2024,5,480 x 360v,10,0,R$0.00 ,0.0,R$0.00 ,30.00%
(Venda Direta SJCC) Armazem coral,JC Online,20/05/2024,5,300 x 250,2259,6,R$33.79 ,20.274,R$14.96 ,70.29%
(Venda Direta SJCC) Armazem coral,JC Online,20/05/2024,5,300 x 600,10,0,R$0.15 ,0.09,R$14.96 ,100.00%
(Venda Direta SJCC) Armazem coral,JC Online,20/05/2024,5,320 x 50,2188,4,R$32.73 ,19.638,R$14.96 ,83.87%
(Venda Direta SJCC) Armazem coral,JC Online,20/05/2024,5,480 x 360v,402,0,R$0.00 ,0.0,R$0.00 ,69.75%
