Advertiser,Ad unit,Date,Creative size,Advertiser ID,Ad unit ID,Total impressions,Total clicks,Total CPM and CPC revenue (R$),Total average eCPM (R$),Total Active View % viewable impressions
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,parceiros (10869286) » ne_10 (11238766) » anchor (22834406532),10/1/2024,300 x 100,4597768744,",10869286,11238766,22834406532,",7,0,"R$0,00 ","R$0,00 ","100,00%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,parceiros (10869286) » ne_10 (11238766) » anchor (22834406532),10/1/2024,320 x 100,4597768744,",10869286,11238766,22834406532,",37,0,"R$0,00 ","R$0,00 ","94,59%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,parceiros (10869286) » ne_10 (11238766) » anchor (22834406532),10/1/2024,320 x 50,4597768744,",10869286,11238766,22834406532,",13,0,"R$0,00 ","R$0,00 ","100,00%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,parceiros (10869286) » ne_10 (11238766) » anchor (22834406532),10/1/2024,728 x 90,4597768744,",10869286,11238766,22834406532,",26,0,"R$0,00 ","R$0,00 ","96,15%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,parceiros (10869286) » ne_10 (11238766) » anchor (22834406532),10/1/2024,970 x 90,4597768744,",10869286,11238766,22834406532,",19,0,"R$0,00 ","R$0,00 ","100,00%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,parceiros (10869286) » ne_10 (11238766) » anchor (22834406532),10/1/2024,Native,4597768744,",10869286,11238766,22834406532,",6,0,"R$0,00 ","R$0,00 ","100,00%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,parceiros (10869286) » ne_10 (11238766) » anchor (22834406532),10/2/2024,300 x 100,4597768744,",10869286,11238766,22834406532,",3,0,"R$0,00 ","R$0,00 ","100,00%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,parceiros (10869286) » ne_10 (11238766) » anchor (22834406532),10/2/2024,320 x 100,4597768744,",10869286,11238766,22834406532,",14,0,"R$0,00 ","R$0,00 ","92,86%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,parceiros (10869286) » ne_10 (11238766) » anchor (22834406532),10/2/2024,320 x 50,4597768744,",10869286,11238766,22834406532,",4,0,"R$0,00 ","R$0,00 ","100,00%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,parceiros (10869286) » ne_10 (11238766) » anchor (22834406532),10/2/2024,728 x 90,4597768744,",10869286,11238766,22834406532,",23,0,"R$0,00 ","R$0,00 ","82,61%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,parceiros (10869286) » ne_10 (11238766) » anchor (22834406532),10/2/2024,970 x 90,4597768744,",10869286,11238766,22834406532,",36,0,"R$0,00 ","R$0,00 ","77,78%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,parceiros (10869286) » ne_10 (11238766) » entretenimento (21722649521),10/1/2024,970 x 250,4597768744,",10869286,11238766,21722649521,",1,0,"R$0,00 ","R$0,00 ","100,00%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,parceiros (10869286) » ne_10 (11238766) » entretenimento (21722649521),10/2/2024,970 x 250,4597768744,",10869286,11238766,21722649521,",3,0,"R$0,00 ","R$0,00 ","100,00%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,parceiros (10869286) » ne_10 (11238766) » home (21723566961),10/1/2024,300 x 250,4597768744,",10869286,11238766,21723566961,",198,0,"R$0,00 ","R$0,00 ","71,72%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,parceiros (10869286) » ne_10 (11238766) » home (21723566961),10/1/2024,300 x 600,4597768744,",10869286,11238766,21723566961,",11,0,"R$0,00 ","R$0,00 ","45,45%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,parceiros (10869286) » ne_10 (11238766) » home (21723566961),10/1/2024,320 x 50,4597768744,",10869286,11238766,21723566961,",281,0,"R$0,00 ","R$0,00 ","70,11%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,parceiros (10869286) » ne_10 (11238766) » home (21723566961),10/1/2024,60 x 60,4597768744,",10869286,11238766,21723566961,",8592,0,"R$0,00 ","R$0,00 ","71,94%"
