Anunciante,Bloco de anúncios,Data,Mês,Tamanho do criativo,Total de impressões,Total de cliques,Receita Bruta (R$),Receita Líquida,eCPM médio total (R$),Porcentagem do total de impressões visíveis do Active View
( Venda Direta SJCC)  UNIVERSIDADE CATOLICA DE PERNAMBUCO,Portal NE10,12/06/2024,6,970 x 250,351,2,"3,12 ","1,872","R$8,89 ","69,52%"
( Venda Direta SJCC)  UNIVERSIDADE CATOLICA DE PERNAMBUCO,Portal NE10,12/06/2024,6,970 x 250,159,0,"1,41 ","0,846","R$8,89 ","67,10%"
( Venda Direta SJCC)  UNIVERSIDADE CATOLICA DE PERNAMBUCO,Interior,12/06/2024,6,970 x 250,3527,1,"31,36 ","18,816","R$8,89 ","53,33%"
( Venda Direta SJCC)  UNIVERSIDADE CATOLICA DE PERNAMBUCO,Portal NE10,12/06/2024,6,970 x 250,2,0,"0,02 ","0,012","R$8,89 ","50,00%"
( Venda Direta SJCC)  UNIVERSIDADE CATOLICA DE PERNAMBUCO,JC Online,12/06/2024,6,970 x 250,2099,0,"18,66 ","11,196","R$8,89 ","65,41%"
( Venda Direta SJCC)  UNIVERSIDADE CATOLICA DE PERNAMBUCO,JC Online,12/06/2024,6,970 x 250,9,0,"0,08 ","0,048","R$8,89 ","66,67%"
( Venda Direta SJCC)  UNIVERSIDADE CATOLICA DE PERNAMBUCO,JC Online,12/06/2024,6,970 x 250,1,0,"0,01 ","0,006","R$8,89 ","0,00%"
( Venda Direta SJCC)  UNIVERSIDADE CATOLICA DE PERNAMBUCO,Social 1,12/06/2024,6,970 x 250,1380,1,"12,27 ","7,362","R$8,89 ","59,35%"
( Venda Direta SJCC)  UNIVERSIDADE CATOLICA DE PERNAMBUCO,Blog do Torcedor,12/06/2024,6,970 x 250,214,0,"1,90 ","1,14","R$8,89 ","64,49%"
( Venda Direta SJCC)  UNIVERSIDADE CATOLICA DE PERNAMBUCO,Portal NE10,12/06/2024,6,970 x 250,177,0,"1,57 ","0,942","R$8,89 ","75,71%"
( Venda Direta SJCC)  UNIVERSIDADE CATOLICA DE PERNAMBUCO,Rádio Jornal,12/06/2024,6,970 x 250,270,1,"2,40 ","1,44","R$8,89 ","69,26%"
( Venda Direta SJCC)  UNIVERSIDADE CATOLICA DE PERNAMBUCO,TV Jornal,12/06/2024,6,970 x 250,694,2,"6,17 ","3,702","R$8,89 ","61,38%"
( Venda Direta SJCC) PIXBET,Interior,12/06/2024,6,300 x 250,1998,0,"0,00 ","0,0","R$0,00 ","57,76%"
( Venda Direta SJCC) PIXBET,Interior,12/06/2024,6,320 x 50,1305,0,"0,00 ","0,0","R$0,00 ","92,64%"
( Venda Direta SJCC) PIXBET,Interior,12/06/2024,6,728 x 90,11179,1,"0,00 ","0,0","R$0,00 ","88,91%"
( Venda Direta SJCC) PIXBET,Interior,12/06/2024,6,970 x 250,2533,0,"0,00 ","0,0","R$0,00 ","83,77%"
( Venda Direta SJCC) PIXBET,Interior,12/06/2024,6,970 x 90,19287,4,"0,00 ","0,0","R$0,00 ","86,53%"
(VENDAS DIRETAS SJCC ) VITARELLA,TV Jornal,12/06/2024,6,300 x 250,568,1,"0,00 ","0,0","R$0,00 ","61,97%"
(VENDAS DIRETAS SJCC ) VITARELLA,TV Jornal,12/06/2024,6,300 x 600,3,0,"0,00 ","0,0","R$0,00 ","66,67%"
(VENDAS DIRETAS SJCC ) VITARELLA,TV Jornal,12/06/2024,6,320 x 50,2325,2,"0,00 ","0,0","R$0,00 ","93,72%"
(VENDAS DIRETAS SJCC ) VITARELLA,TV Jornal,12/06/2024,6,320 x 50,58,0,"0,00 ","0,0","R$0,00 ","93,10%"
(Venda Direta SJCC) - SICREDI,Rádio Jornal,12/06/2024,6,300 x 250,1733,4,"11,55 ","6,93","R$6,67 ","57,88%"
(Venda Direta SJCC) - SICREDI,Rádio Jornal,12/06/2024,6,300 x 600,25,0,"0,17 ","0,102","R$6,67 ","0,00%"
(Venda Direta SJCC) - SICREDI,Rádio Jornal,12/06/2024,6,320 x 50,3130,2,"20,86 ","12,516","R$6,67 ","75,67%"
(Venda Direta SJCC) - SICREDI,Rádio Jornal,12/06/2024,6,320 x 50,577,1,"3,85 ","2,31","R$6,67 ","97,40%"
(Venda Direta SJCC) - SICREDI,Rádio Jornal,12/06/2024,6,320 x 50,258,0,"1,72 ","1,032","R$6,67 ","99,61%"
(Venda Direta SJCC) - SICREDI,Rádio Jornal,12/06/2024,6,300 x 250,50,0,"0,33 ","0,198","R$6,67 ","74,00%"
(Venda Direta SJCC) - SICREDI,Rádio Jornal,12/06/2024,6,320 x 50,5,0,"0,03 ","0,018","R$6,67 ","60,00%"
(Venda Direta SJCC) - SICREDI,Rádio Jornal,12/06/2024,6,300 x 250,29,0,"0,19 ","0,114","R$6,67 ","65,52%"
(Venda Direta SJCC) Armazem coral,Portal NE10,12/06/2024,6,300 x 250,8,0,"0,17 ","0,102","R$21,42 ","87,50%"
(Venda Direta SJCC) Armazem coral,Portal NE10,12/06/2024,6,300 x 250,1398,0,"29,95 ","17,97","R$21,42 ","65,88%"
(Venda Direta SJCC) Armazem coral,Portal NE10,12/06/2024,6,300 x 600,14,0,"0,30 ","0,18","R$21,42 ","71,43%"
(Venda Direta SJCC) Armazem coral,Portal NE10,12/06/2024,6,320 x 50,888,0,"19,02 ","11,412","R$21,42 ","70,83%"
(Venda Direta SJCC) Armazem coral,Portal NE10,12/06/2024,6,480 x 360v,465,0,"0,00 ","0,0","R$0,00 ","60,73%"
(Venda Direta SJCC) Armazem coral,Portal NE10,12/06/2024,6,728 x 90,25,0,"0,54 ","0,324","R$21,42 ","60,00%"
(Venda Direta SJCC) Armazem coral,Portal NE10,12/06/2024,6,970 x 250,10,0,"0,21 ","0,126","R$21,42 ","70,00%"
(Venda Direta SJCC) Armazem coral,Portal NE10,12/06/2024,6,320 x 50,854,2,"18,29 ","10,974","R$21,42 ","93,33%"
(Venda Direta SJCC) Armazem coral,Portal NE10,12/06/2024,6,728 x 90,181,0,"3,88 ","2,328","R$21,42 ","96,69%"
(Venda Direta SJCC) Armazem coral,Portal NE10,12/06/2024,6,480 x 360v,1734,3,"0,00 ","0,0","R$0,00 ","85,33%"
(Venda Direta SJCC) Armazem coral,Portal NE10,12/06/2024,6,300 x 250,151,0,"3,23 ","1,938","R$21,42 ","60,93%"
(Venda Direta SJCC) Armazem coral,Portal NE10,12/06/2024,6,480 x 360v,22,0,"0,00 ","0,0","R$0,00 ","77,27%"
(Venda Direta SJCC) Armazem coral,Portal NE10,12/06/2024,6,300 x 250,7,0,"0,15 ","0,09","R$21,42 ","57,14%"
(Venda Direta SJCC) Armazem coral,JC Online,12/06/2024,6,300 x 250,2040,1,"30,52 ","18,312","R$14,96 ","68,63%"
(Venda Direta SJCC) Armazem coral,JC Online,12/06/2024,6,300 x 600,2,0,"0,03 ","0,018","R$14,96 ","0,00%"
(Venda Direta SJCC) Armazem coral,JC Online,12/06/2024,6,320 x 50,3450,3,"51,61 ","30,966","R$14,96 ","94,15%"
(Venda Direta SJCC) Armazem coral,JC Online,12/06/2024,6,480 x 360v,1625,1,"0,00 ","0,0","R$0,00 ","69,92%"
(Venda Direta SJCC) Armazem coral,JC Online,12/06/2024,6,480 x 360v,7,0,"0,00 ","0,0","R$0,00 ","71,43%"
(Venda Direta SJCC) Armazem coral,JC Online,12/06/2024,6,480 x 360v,0,0,"0,00 ","0,0","R$0,00 ","50,00%"
(Venda Direta SJCC) Armazem coral,JC Online,12/06/2024,6,320 x 50,515,0,"7,70 ","4,62","R$14,96 ","97,28%"
(Venda Direta SJCC) Armazem coral,JC Online,12/06/2024,6,728 x 90,34,0,"0,51 ","0,306","R$14,96 ","100,00%"
(Venda Direta SJCC) Armazem coral,JC Online,12/06/2024,6,480 x 360v,2145,23,"0,00 ","0,0","R$0,00 ","90,46%"
(Venda Direta SJCC) Armazem coral,JC Online,12/06/2024,6,480 x 360v,16,0,"0,00 ","0,0","R$0,00 ","75,00%"
(Venda Direta SJCC) Armazem coral,Portal NE10,12/06/2024,6,300 x 250,1488,2,"31,87 ","19,122","R$21,42 ","59,65%"
(Venda Direta SJCC) Armazem coral,Portal NE10,12/06/2024,6,300 x 600,170,0,"3,64 ","2,184","R$21,42 ","55,29%"
(Venda Direta SJCC) Armazem coral,Portal NE10,12/06/2024,6,320 x 50,1129,1,"24,18 ","14,508","R$21,42 ","76,93%"
(Venda Direta SJCC) Armazem coral,Portal NE10,12/06/2024,6,480 x 360v,263,0,"0,00 ","0,0","R$0,00 ","46,77%"
(Venda Direta SJCC) Armazem coral,Portal NE10,12/06/2024,6,728 x 90,5,0,"0,11 ","0,066","R$21,42 ","60,00%"
(Venda Direta SJCC) Armazem coral,Portal NE10,12/06/2024,6,970 x 250,10,0,"0,21 ","0,126","R$21,42 ","90,00%"
(Venda Direta SJCC) Armazem coral,Portal NE10,12/06/2024,6,320 x 50,41,0,"0,88 ","0,528","R$21,42 ","97,56%"
(Venda Direta SJCC) Armazem coral,Portal NE10,12/06/2024,6,728 x 90,323,0,"6,92 ","4,152","R$21,42 ","97,52%"
(Venda Direta SJCC) Armazem coral,Portal NE10,12/06/2024,6,480 x 360v,146,1,"0,00 ","0,0","R$0,00 ","89,58%"
(Venda Direta SJCC) Armazem coral,Portal NE10,12/06/2024,6,300 x 250,1,0,"0,02 ","0,012","R$21,42 ","100,00%"
(Venda Direta SJCC) CLEVER GESTL LTDA,Portal NE10,12/06/2024,6,300 x 250,3035,0,"0,00 ","0,0","R$0,00 ","22,04%"
(Venda Direta SJCC) CLEVER GESTL LTDA,Portal NE10,12/06/2024,6,300 x 350,2081,0,"10,41 ","6,246","R$5,00 ","3,32%"
(Venda Direta SJCC) CLEVER GESTL LTDA,Portal NE10,12/06/2024,6,300 x 250,7,0,"0,00 ","0,0","R$0,00 ","42,86%"
