Anunciante,Bloco de anúncios,Data,Tamanho do criativo,Total de impressões,Total de cliques,Receita Bruta (R$),Receita Líquida,eCPM médio total (R$),Porcentagem do total de impressões visíveis do Active View
( Projeto SJCC) -  (Marketing Recife Copa do Nordeste),JC Online,02/05/2024,970 x 250,15,0,"R$0,06 ","0,036","R$3,74 ","60,00%"
( Projeto SJCC) -  (Marketing Recife Copa do Nordeste),JC Online,01/05/2024,320 x 50,1294,0,"R$4,84 ","2,904","R$3,74 ","97,45%"
( Projeto SJCC) -  (Marketing Recife Copa do Nordeste),JC Online,02/05/2024,320 x 50,1648,0,"R$6,16 ","3,696","R$3,74 ","97,63%"
( Projeto SJCC) -  (Marketing Recife Copa do Nordeste),JC Online,01/05/2024,300 x 250,332,0,"R$1,24 ","0,744","R$3,74 ","53,61%"
( Projeto SJCC) -  (Marketing Recife Copa do Nordeste),JC Online,02/05/2024,300 x 250,789,0,"R$2,95 ","1,77","R$3,74 ","64,13%"
( Projeto SJCC) -  (Marketing Recife Copa do Nordeste),Portal NE10,01/05/2024,300 x 250,28,0,"R$0,10 ","0,06","R$3,74 ","57,14%"
( Projeto SJCC) -  (Marketing Recife Copa do Nordeste),Portal NE10,01/05/2024,320 x 50,11,0,"R$0,04 ","0,024","R$3,74 ","90,91%"
( Projeto SJCC) -  (Marketing Recife Copa do Nordeste),Portal NE10,01/05/2024,970 x 250,6,0,"R$0,02 ","0,012","R$3,74 ","83,33%"
( Projeto SJCC) -  (Marketing Recife Copa do Nordeste),Portal NE10,02/05/2024,300 x 250,11,0,"R$0,04 ","0,024","R$3,74 ","72,73%"
( Projeto SJCC) -  (Marketing Recife Copa do Nordeste),Portal NE10,02/05/2024,320 x 50,5,0,"R$0,02 ","0,012","R$3,74 ","80,00%"
( Projeto SJCC) -  (Marketing Recife Copa do Nordeste),Portal NE10,01/05/2024,320 x 50,1,0,"R$0,00 ","0,0","R$3,74 ","100,00%"
( Projeto SJCC) -  (Marketing Recife Copa do Nordeste),Portal NE10,02/05/2024,320 x 50,2,0,"R$0,01 ","0,006","R$3,74 ","100,00%"
( Projeto SJCC) -  (Marketing Recife Copa do Nordeste),Portal NE10,02/05/2024,300 x 250,1,0,"R$0,00 ","0,0","R$3,74 ","0,00%"
( Projeto SJCC) -  (Marketing Recife Copa do Nordeste),Rádio Jornal,01/05/2024,300 x 250,4600,0,"R$17,20 ","10,32","R$3,74 ","75,15%"
( Projeto SJCC) -  (Marketing Recife Copa do Nordeste),Rádio Jornal,01/05/2024,320 x 50,59,0,"R$0,22 ","0,132","R$3,74 ","86,44%"
( Projeto SJCC) -  (Marketing Recife Copa do Nordeste),Rádio Jornal,02/05/2024,300 x 250,4394,0,"R$16,43 ","9,858","R$3,74 ","69,14%"
( Projeto SJCC) -  (Marketing Recife Copa do Nordeste),Rádio Jornal,02/05/2024,320 x 50,33,0,"R$0,12 ","0,072","R$3,74 ","66,67%"
( Venda Direta SJCC)  UNIVERSIDADE CATOLICA DE PERNAMBUCO,JC Online,01/05/2024,970 x 250,5098,1,"R$45,32 ","27,192","R$8,89 ","66,30%"
( Venda Direta SJCC)  UNIVERSIDADE CATOLICA DE PERNAMBUCO,JC Online,02/05/2024,970 x 250,6356,3,"R$56,50 ","33,9","R$8,89 ","62,57%"
( Venda Direta SJCC)  UNIVERSIDADE CATOLICA DE PERNAMBUCO,JC Online,02/05/2024,970 x 250,1,0,"R$0,01 ","0,006","R$8,89 ","100,00%"
( Venda Direta SJCC)  UNIVERSIDADE CATOLICA DE PERNAMBUCO,Jamildo,01/05/2024,970 x 250,1,0,"R$0,01 ","0,006","R$8,89 ","0,00%"
( Venda Direta SJCC)  UNIVERSIDADE CATOLICA DE PERNAMBUCO,Social 1,01/05/2024,970 x 250,542,0,"R$4,82 ","2,892","R$8,89 ","61,99%"
( Venda Direta SJCC)  UNIVERSIDADE CATOLICA DE PERNAMBUCO,Social 1,02/05/2024,970 x 250,1025,0,"R$9,11 ","5,466","R$8,89 ","75,90%"
( Venda Direta SJCC)  UNIVERSIDADE CATOLICA DE PERNAMBUCO,Blog do Torcedor,01/05/2024,970 x 250,2645,0,"R$23,51 ","14,106","R$8,89 ","64,12%"
( Venda Direta SJCC)  UNIVERSIDADE CATOLICA DE PERNAMBUCO,Blog do Torcedor,02/05/2024,970 x 250,782,0,"R$6,95 ","4,17","R$8,89 ","63,04%"
( Venda Direta SJCC)  UNIVERSIDADE CATOLICA DE PERNAMBUCO,JC Online,01/05/2024,970 x 250,1,0,"R$0,01 ","0,006","R$8,89 ","100,00%"
( Venda Direta SJCC)  UNIVERSIDADE CATOLICA DE PERNAMBUCO,JC Online,02/05/2024,970 x 250,2,0,"R$0,02 ","0,012","R$8,89 ","100,00%"
( Venda Direta SJCC)  UNIVERSIDADE CATOLICA DE PERNAMBUCO,JC Online,01/05/2024,970 x 250,2,0,"R$0,02 ","0,012","R$8,89 ","50,00%"
(Venda Direta SJCC) - SICREDI,Rádio Jornal,01/05/2024,300 x 250,667,0,"R$4,45 ","2,67","R$6,67 ","54,97%"
(Venda Direta SJCC) - SICREDI,Rádio Jornal,01/05/2024,300 x 600,85,0,"R$0,57 ","0,342","R$6,67 ","101,18%"
(Venda Direta SJCC) - SICREDI,Rádio Jornal,01/05/2024,320 x 50,652,3,"R$4,35 ","2,61","R$6,67 ","101,54%"
(Venda Direta SJCC) - SICREDI,Rádio Jornal,01/05/2024,970 x 250,5,0,"R$0,03 ","0,018","R$6,67 ","80,00%"
(Venda Direta SJCC) - SICREDI,Rádio Jornal,02/05/2024,300 x 250,1785,3,"R$11,90 ","7,14","R$6,67 ","56,39%"
(Venda Direta SJCC) - SICREDI,Rádio Jornal,02/05/2024,300 x 600,1,0,"R$0,01 ","0,006","R$6,67 ","0,00%"
(Venda Direta SJCC) - SICREDI,Rádio Jornal,02/05/2024,320 x 50,1069,1,"R$7,13 ","4,278","R$6,67 ","90,89%"
(Venda Direta SJCC) - SICREDI,Rádio Jornal,02/05/2024,970 x 250,2,0,"R$0,01 ","0,006","R$6,67 ","50,00%"
(Venda Direta SJCC) - SICREDI,Rádio Jornal,01/05/2024,320 x 50,253,0,"R$1,69 ","1,014","R$6,67 ","98,02%"
(Venda Direta SJCC) - SICREDI,Rádio Jornal,02/05/2024,320 x 50,837,0,"R$5,58 ","3,348","R$6,67 ","97,85%"
(Venda Direta SJCC) - SICREDI,Rádio Jornal,02/05/2024,320 x 50,1,0,"R$0,01 ","0,006","R$6,67 ","100,00%"
(Venda Direta SJCC) - SICREDI,Rádio Jornal,01/05/2024,300 x 250,3759,3,"R$25,06 ","15,036","R$6,67 ","74,89%"
(Venda Direta SJCC) - SICREDI,Rádio Jornal,01/05/2024,320 x 50,58,0,"R$0,39 ","0,234","R$6,67 ","93,10%"
(Venda Direta SJCC) - SICREDI,Rádio Jornal,02/05/2024,300 x 250,1025,2,"R$6,83 ","4,098","R$6,67 ","72,78%"
(Venda Direta SJCC) - SICREDI,Rádio Jornal,02/05/2024,320 x 50,13,0,"R$0,09 ","0,054","R$6,67 ","53,85%"
(Venda Direta SJCC) - SICREDI,Rádio Jornal,01/05/2024,300 x 250,15,0,"R$0,10 ","0,06","R$6,67 ","60,00%"
(Venda Direta SJCC) - SICREDI,Rádio Jornal,02/05/2024,300 x 250,88,0,"R$0,59 ","0,354","R$6,67 ","55,68%"
(Venda Direta SJCC) - SICREDI,Rádio Jornal,01/05/2024,320 x 50,1,0,"R$0,01 ","0,006","R$6,67 ","100,00%"
(Venda Direta SJCC) - SICREDI,Rádio Jornal,02/05/2024,320 x 50,1,0,"R$0,01 ","0,006","R$6,67 ","0,00%"
(Venda Direta SJCC) Armazem coral,Portal NE10,01/05/2024,300 x 250,2,0,"R$0,04 ","0,024","R$21,42 ","50,00%"
(Venda Direta SJCC) Armazem coral,Portal NE10,01/05/2024,320 x 50,2,0,"R$0,04 ","0,024","R$21,42 ","100,00%"
(Venda Direta SJCC) Armazem coral,Portal NE10,01/05/2024,300 x 250,8,0,"R$0,17 ","0,102","R$21,42 ","25,00%"
(Venda Direta SJCC) Armazem coral,Portal NE10,01/05/2024,300 x 600,1,0,"R$0,02 ","0,012","R$21,42 ","0,00%"
