Anunciante,Bloco de anúncios,Data,Tamanho do criativo,Total de impressões,Total de cliques,Receita Bruta (R$),Receita Líquida,eCPM médio total (R$),Porcentagem do total de impressões visíveis do Active View
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Interior,02/05/2024,300 x 250,185,0,R$1.74 ,R$1.04,R$9.40 ,64.32%
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Interior,02/05/2024,320 x 50,82,1,R$0.77 ,R$0.46,R$9.40 ,90.24%
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Interior,02/05/2024,728 x 90,30,0,R$0.28 ,R$0.17,R$9.40 ,80.00%
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Interior,02/05/2024,970 x 250,30,0,R$0.28 ,R$0.17,R$9.40 ,70.00%
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Interior,06/05/2024,300 x 250,7,0,R$0.07 ,R$0.04,R$9.40 ,71.43%
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Interior,07/05/2024,300 x 250,3705,0,R$34.83 ,R$20.9,R$9.40 ,70.15%
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Interior,07/05/2024,320 x 50,816,0,R$7.67 ,R$4.6,R$9.40 ,89.05%
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Interior,07/05/2024,728 x 90,74,0,R$0.70 ,R$0.42,R$9.40 ,81.08%
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Interior,07/05/2024,970 x 250,212,0,R$1.99 ,R$1.19,R$9.40 ,96.23%
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Interior,08/05/2024,300 x 250,6304,0,R$59.26 ,R$35.56,R$9.40 ,66.53%
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Interior,08/05/2024,320 x 50,3666,0,R$34.46 ,R$20.68,R$9.40 ,91.81%
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Interior,08/05/2024,728 x 90,284,0,R$2.67 ,R$1.6,R$9.40 ,73.24%
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Interior,08/05/2024,970 x 250,449,0,R$4.22 ,R$2.53,R$9.40 ,74.16%
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Interior,02/05/2024,320 x 50,27,0,R$0.25 ,R$0.15,R$9.40 ,92.59%
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Interior,02/05/2024,728 x 90,91,0,R$0.86 ,R$0.52,R$9.40 ,95.60%
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Interior,06/05/2024,320 x 50,2,0,R$0.02 ,R$0.01,R$9.40 ,100.00%
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Interior,06/05/2024,728 x 90,9,0,R$0.08 ,R$0.05,R$9.40 ,100.00%
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Interior,07/05/2024,320 x 50,4920,0,R$46.25 ,R$27.75,R$9.40 ,98.07%
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Interior,07/05/2024,728 x 90,437,0,R$4.11 ,R$2.47,R$9.40 ,99.08%
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Interior,08/05/2024,320 x 50,2597,0,R$24.41 ,R$14.65,R$9.40 ,97.42%
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Interior,08/05/2024,728 x 90,1363,0,R$12.81 ,R$7.69,R$9.40 ,98.97%
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Interior,02/05/2024,300 x 250,1,0,R$0.01 ,R$0.01,R$9.40 ,0.00%
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Interior,07/05/2024,300 x 250,247,0,R$2.32 ,R$1.39,R$9.40 ,81.38%
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Interior,08/05/2024,300 x 250,55,0,R$0.52 ,R$0.31,R$9.40 ,58.18%
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),parceiros (10869286) » ne_10 (11238766) » interior (21737767482) » noticias (21823177011),08/05/2024,970 x 250,1,0,R$0.01 ,R$0.01,R$9.40 ,0.00%
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Interior,07/05/2024,320 x 50,35,0,R$0.33 ,R$0.2,R$9.40 ,94.29%
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Interior,08/05/2024,320 x 50,15,0,R$0.14 ,R$0.08,R$9.40 ,133.33%
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Interior,07/05/2024,320 x 50,2,0,R$0.02 ,R$0.01,R$9.40 ,50.00%
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Interior,08/05/2024,320 x 50,10,0,R$0.09 ,R$0.05,R$9.40 ,40.00%
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Interior,07/05/2024,300 x 250,1,0,R$0.01 ,R$0.01,R$9.40 ,100.00%
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Interior,07/05/2024,320 x 50,1,0,R$0.01 ,R$0.01,R$9.40 ,100.00%
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Interior,07/05/2024,728 x 90,44,0,R$0.41 ,R$0.25,R$9.40 ,93.18%
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Interior,07/05/2024,970 x 250,31,0,R$0.29 ,R$0.17,R$9.40 ,74.19%
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Interior,08/05/2024,300 x 250,51,0,R$0.48 ,R$0.29,R$9.40 ,33.33%
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Interior,08/05/2024,320 x 50,2,0,R$0.02 ,R$0.01,R$9.40 ,100.00%
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Interior,08/05/2024,728 x 90,157,0,R$1.48 ,R$0.89,R$9.40 ,74.52%
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Interior,08/05/2024,970 x 250,97,0,R$0.91 ,R$0.55,R$9.40 ,75.26%
