Anunciante,Bloco de anúncios,Data,Tamanho do criativo,ID do anunciante,ID do bloco de anúncios,Total de impressões,Total de cliques,Receita total de CPM e de CPC (R$),eCPM médio total (R$),Porcentagem do total de impressões visíveis do Active View
( Projeto SJCC) -  (Marketing Recife Copa do Nordeste),parceiros (10869286) » ne_10 (11238766) » radio_jornal (21719551231) » app (23085685547),5/1/2024,320 x 50,5614258754,",10869286,11238766,21719551231,23085685547,",59,0,"R$0,22 ","R$3,74 ","86,44%"
( Venda Direta SJCC)  UNIVERSIDADE CATOLICA DE PERNAMBUCO,parceiros (10869286) » ne_10 (11238766) » jornal_do_commercio (21268726),5/1/2024,970 x 250,4676895284,",10869286,11238766,21268726,",5098,1,"R$45,32 ","R$8,89 ","66,30%"
( Venda Direta SJCC)  UNIVERSIDADE CATOLICA DE PERNAMBUCO,parceiros (10869286) » ne_10 (11238766) » jornal_do_commercio (21268726) » blog (21725415585) » jamildo (22475149105),5/1/2024,970 x 250,4676895284,",10869286,11238766,21268726,21725415585,22475149105,",1,0,"R$0,01 ","R$8,89 ","0,00%"
( Venda Direta SJCC)  UNIVERSIDADE CATOLICA DE PERNAMBUCO,parceiros (10869286) » ne_10 (11238766) » jornal_do_commercio (21268726) » blog (21725415585) » social1 (22503128490),5/1/2024,970 x 250,4676895284,",10869286,11238766,21268726,21725415585,22503128490,",542,0,"R$4,82 ","R$8,89 ","61,99%"
( Venda Direta SJCC)  UNIVERSIDADE CATOLICA DE PERNAMBUCO,parceiros (10869286) » ne_10 (11238766) » jornal_do_commercio (21268726) » blog (21725415585) » torcedor (22462745544),5/1/2024,970 x 250,4676895284,",10869286,11238766,21268726,21725415585,22462745544,",2645,0,"R$23,51 ","R$8,89 ","64,12%"
( Venda Direta SJCC)  UNIVERSIDADE CATOLICA DE PERNAMBUCO,parceiros (10869286) » ne_10 (11238766) » jornal_do_commercio (21268726) » especiais (21737885740),5/1/2024,970 x 250,4676895284,",10869286,11238766,21268726,21737885740,",1,0,"R$0,01 ","R$8,89 ","100,00%"
( Venda Direta SJCC)  UNIVERSIDADE CATOLICA DE PERNAMBUCO,parceiros (10869286) » ne_10 (11238766) » jornal_do_commercio (21268726) » jc_classico (22893389667),5/1/2024,970 x 250,4676895284,",10869286,11238766,21268726,22893389667,",2,0,"R$0,02 ","R$8,89 ","50,00%"
(Venda Direta SJCC) - SICREDI,parceiros (10869286) » ne_10 (11238766) » radio_jornal (21719551231),5/1/2024,300 x 250,4606036202,",10869286,11238766,21719551231,",667,0,"R$4,45 ","R$6,67 ","54,97%"
(Venda Direta SJCC) - SICREDI,parceiros (10869286) » ne_10 (11238766) » radio_jornal (21719551231),5/1/2024,300 x 600,4606036202,",10869286,11238766,21719551231,",85,0,"R$0,57 ","R$6,67 ","101,18%"
(Venda Direta SJCC) - SICREDI,parceiros (10869286) » ne_10 (11238766) » radio_jornal (21719551231),5/1/2024,320 x 50,4606036202,",10869286,11238766,21719551231,",652,3,"R$4,35 ","R$6,67 ","101,54%"
(Venda Direta SJCC) - SICREDI,parceiros (10869286) » ne_10 (11238766) » radio_jornal (21719551231),5/1/2024,970 x 250,4606036202,",10869286,11238766,21719551231,",5,0,"R$0,03 ","R$6,67 ","80,00%"
(Venda Direta SJCC) - SICREDI,parceiros (10869286) » ne_10 (11238766) » radio_jornal (21719551231) » anchor (22834993604),5/1/2024,320 x 50,4606036202,",10869286,11238766,21719551231,22834993604,",253,0,"R$1,69 ","R$6,67 ","98,02%"
(Venda Direta SJCC) - SICREDI,parceiros (10869286) » ne_10 (11238766) » radio_jornal (21719551231) » app (23085685547),5/1/2024,300 x 250,4606036202,",10869286,11238766,21719551231,23085685547,",3759,3,"R$25,06 ","R$6,67 ","74,89%"
(Venda Direta SJCC) - SICREDI,parceiros (10869286) » ne_10 (11238766) » radio_jornal (21719551231) » app (23085685547),5/1/2024,320 x 50,4606036202,",10869286,11238766,21719551231,23085685547,",58,0,"R$0,39 ","R$6,67 ","93,10%"
(Venda Direta SJCC) - SICREDI,parceiros (10869286) » ne_10 (11238766) » radio_jornal (21719551231) » in-article (21814456428) » outstream (22691595906),5/1/2024,300 x 250,4606036202,",10869286,11238766,21719551231,21814456428,22691595906,",15,0,"R$0,10 ","R$6,67 ","60,00%"
(Venda Direta SJCC) - SICREDI,parceiros (10869286) » ne_10 (11238766) » radio_jornal (21719551231) » story (22871014861),5/1/2024,320 x 50,4606036202,",10869286,11238766,21719551231,22871014861,",1,0,"R$0,01 ","R$6,67 ","100,00%"
(Venda Direta SJCC) Armazem coral,parceiros (10869286) » ne_10 (11238766) » entretenimento (21722649521),5/1/2024,300 x 250,4600319505,",10869286,11238766,21722649521,",2,0,"R$0,04 ","R$21,42 ","50,00%"
(Venda Direta SJCC) Armazem coral,parceiros (10869286) » ne_10 (11238766) » entretenimento (21722649521),5/1/2024,320 x 50,4600319505,",10869286,11238766,21722649521,",2,0,"R$0,04 ","R$21,42 ","100,00%"
(Venda Direta SJCC) Armazem coral,parceiros (10869286) » ne_10 (11238766) » home (21723566961),5/1/2024,300 x 250,4600319505,",10869286,11238766,21723566961,",8,0,"R$0,17 ","R$21,42 ","25,00%"
(Venda Direta SJCC) Armazem coral,parceiros (10869286) » ne_10 (11238766) » home (21723566961),5/1/2024,300 x 600,4600319505,",10869286,11238766,21723566961,",1,0,"R$0,02 ","R$21,42 ","0,00%"
(Venda Direta SJCC) Armazem coral,parceiros (10869286) » ne_10 (11238766) » home (21723566961),5/1/2024,320 x 50,4600319505,",10869286,11238766,21723566961,",23,0,"R$0,49 ","R$21,42 ","78,26%"
(Venda Direta SJCC) Armazem coral,parceiros (10869286) » ne_10 (11238766) » home (21723566961) » anchor (22835570053),5/1/2024,320 x 50,4600319505,",10869286,11238766,21723566961,22835570053,",1010,0,"R$21,63 ","R$21,42 ","96,14%"
(Venda Direta SJCC) Armazem coral,parceiros (10869286) » ne_10 (11238766) » home (21723566961) » anchor (22835570053),5/1/2024,728 x 90,4600319505,",10869286,11238766,21723566961,22835570053,",106,0,"R$2,27 ","R$21,42 ","91,51%"
(Venda Direta SJCC) Armazem coral,parceiros (10869286) » ne_10 (11238766) » home (21723566961) » in-article (21814819361) » outstream (22691595912),5/1/2024,300 x 250,4600319505,",10869286,11238766,21723566961,21814819361,22691595912,",64,0,"R$1,37 ","R$21,42 ","48,44%"
(Venda Direta SJCC) Armazem coral,parceiros (10869286) » ne_10 (11238766) » indica (22674207097),5/1/2024,300 x 250,4600319505,",10869286,11238766,22674207097,",2,0,"R$0,04 ","R$21,42 ","50,00%"
(Venda Direta SJCC) Armazem coral,parceiros (10869286) » ne_10 (11238766) » indica (22674207097),5/1/2024,320 x 50,4600319505,",10869286,11238766,22674207097,",4,0,"R$0,09 ","R$21,42 ","50,00%"
(Venda Direta SJCC) Armazem coral,parceiros (10869286) » ne_10 (11238766) » jornal_do_commercio (21268726),5/1/2024,300 x 250,4600319505,",10869286,11238766,21268726,",1392,1,"R$20,82 ","R$14,96 ","59,12%"
(Venda Direta SJCC) Armazem coral,parceiros (10869286) » ne_10 (11238766) » jornal_do_commercio (21268726),5/1/2024,300 x 600,4600319505,",10869286,11238766,21268726,",21,0,"R$0,31 ","R$14,96 ","57,14%"
(Venda Direta SJCC) Armazem coral,parceiros (10869286) » ne_10 (11238766) » jornal_do_commercio (21268726),5/1/2024,320 x 50,4600319505,",10869286,11238766,21268726,",2919,3,"R$43,67 ","R$14,96 ","88,53%"
(Venda Direta SJCC) Armazem coral,parceiros (10869286) » ne_10 (11238766) » jornal_do_commercio (21268726),5/1/2024,728 x 90,4600319505,",10869286,11238766,21268726,",4,0,"R$0,06 ","R$14,96 ","75,00%"
(Venda Direta SJCC) Armazem coral,parceiros (10869286) » ne_10 (11238766) » jornal_do_commercio (21268726),5/1/2024,970 x 250,4600319505,",10869286,11238766,21268726,",3,0,"R$0,04 ","R$14,96 ","66,67%"
(Venda Direta SJCC) Armazem coral,parceiros (10869286) » ne_10 (11238766) » jornal_do_commercio (21268726) » anchor (22834992269),5/1/2024,320 x 50,4600319505,",10869286,11238766,21268726,22834992269,",1062,2,"R$15,89 ","R$14,96 ","97,08%"
(Venda Direta SJCC) Armazem coral,parceiros (10869286) » ne_10 (11238766) » jornal_do_commercio (21268726) » anchor (22834992269),5/1/2024,728 x 90,4600319505,",10869286,11238766,21268726,22834992269,",669,0,"R$10,01 ","R$14,96 ","93,12%"
(Venda Direta SJCC) Armazem coral,parceiros (10869286) » ne_10 (11238766) » jornal_do_commercio (21268726) » in-article (21814348402) » outstream (22691595903),5/1/2024,300 x 250,4600319505,",10869286,11238766,21268726,21814348402,22691595903,",164,0,"R$2,45 ","R$14,96 ","57,93%"
(Venda Direta SJCC) Armazem coral,parceiros (10869286) » ne_10 (11238766) » jornal_do_commercio (21268726) » story (22871019115),5/1/2024,320 x 50,4600319505,",10869286,11238766,21268726,22871019115,",1,0,"R$0,01 ","R$14,96 ","100,00%"
(Venda Direta SJCC) Armazem coral,parceiros (10869286) » ne_10 (11238766) » noticias (21722702436),5/1/2024,300 x 250,4600319505,",10869286,11238766,21722702436,",548,4,"R$11,52 ","R$21,03 ","66,36%"
