Anunciante,Bloco de anúncios,Data,Mês,Tamanho do criativo,Total de impressões,Total de cliques,Receita Bruta (R$),Receita Líquida,eCPM médio total (R$),Porcentagem do total de impressões visíveis do Active View
( Venda Direta SJCC)  UNIVERSIDADE CATOLICA DE PERNAMBUCO,Interior,17/04/2024,4,970 x 250,212,0,"R$1,88 ","1,128","R$8,89 ","87,74%"
( Venda Direta SJCC)  UNIVERSIDADE CATOLICA DE PERNAMBUCO,Portal NE10,17/04/2024,4,970 x 250,1,0,"R$0,01 ","0,006","R$8,89 ","100,00%"
( Venda Direta SJCC)  UNIVERSIDADE CATOLICA DE PERNAMBUCO,JC Online,17/04/2024,4,970 x 250,5053,4,"R$44,92 ","26,952","R$8,89 ","61,01%"
( Venda Direta SJCC)  UNIVERSIDADE CATOLICA DE PERNAMBUCO,Jamildo,17/04/2024,4,970 x 250,490,0,"R$4,36 ","2,616","R$8,89 ","71,43%"
( Venda Direta SJCC)  UNIVERSIDADE CATOLICA DE PERNAMBUCO,Social 1,17/04/2024,4,970 x 250,261,0,"R$2,32 ","1,392","R$8,89 ","63,60%"
( Venda Direta SJCC)  UNIVERSIDADE CATOLICA DE PERNAMBUCO,Blog do Torcedor,17/04/2024,4,970 x 250,1670,0,"R$14,85 ","8,91","R$8,89 ","56,77%"
( Venda Direta SJCC)  UNIVERSIDADE CATOLICA DE PERNAMBUCO,JC Online,17/04/2024,4,970 x 250,2,0,"R$0,02 ","0,012","R$8,89 ","0,00%"
( Venda Direta SJCC)  UNIVERSIDADE CATOLICA DE PERNAMBUCO,Portal NE10,17/04/2024,4,970 x 250,145,0,"R$1,29 ","0,774","R$8,89 ","71,03%"
( Venda Direta SJCC)  UNIVERSIDADE CATOLICA DE PERNAMBUCO,Rádio Jornal,17/04/2024,4,970 x 250,65,0,"R$0,58 ","0,348","R$8,89 ","64,62%"
( Venda Direta SJCC)  UNIVERSIDADE CATOLICA DE PERNAMBUCO,TV Jornal,17/04/2024,4,970 x 250,296,0,"R$2,63 ","1,578","R$8,89 ","60,81%"
(Venda Direta SJCC) - SICREDI,Rádio Jornal,17/04/2024,4,300 x 250,523,2,"R$3,49 ","2,094","R$6,67 ","55,09%"
(Venda Direta SJCC) - SICREDI,Rádio Jornal,17/04/2024,4,300 x 600,5,0,"R$0,03 ","0,018","R$6,67 ","100,00%"
(Venda Direta SJCC) - SICREDI,Rádio Jornal,17/04/2024,4,320 x 50,1157,2,"R$7,71 ","4,626","R$6,67 ","93,24%"
(Venda Direta SJCC) - SICREDI,Rádio Jornal,17/04/2024,4,320 x 50,647,1,"R$4,31 ","2,586","R$6,67 ","97,22%"
(Venda Direta SJCC) - SICREDI,Rádio Jornal,17/04/2024,4,320 x 50,1,0,"R$0,01 ","0,006","R$6,67 ","0,00%"
