Anunciante,Bloco de anúncios,Data,Tamanho do criativo,Total de impressões,Total de cliques,Receita Bruta (R$),Receita Líquida,eCPM,eCPM médio total (R$),Porcentagem do total de impressões visíveis do Active View
Áudio (0x0),Rádio Jornal,21/02/2024,0 x 0,1,0,"R$0,00 ","0,0",,"R$0,85 ","0,00%"
Áudio (0x0),Rádio Jornal,21/02/2024,0 x 0,617,1,"R$0,91 ","0,546",,"R$1,47 ","95,46%"
Áudio (0x0),Rádio Jornal,21/02/2024,0 x 0,29,0,"R$0,03 ","0,018",,"R$0,96 ","96,55%"
Áudio (0x0),Rádio Jornal,21/02/2024,0 x 0,35,0,"R$0,03 ","0,018",,"R$0,97 ","100,00%"
Áudio (0x0),Rádio Jornal,21/02/2024,0 x 0,42,0,"R$0,09 ","0,054",,"R$2,17 ","83,33%"
Áudio (0x0),TV Jornal,21/02/2024,0 x 0,597,1,"R$2,87 ","1,722",,"R$4,80 ","66,50%"
Áudio (0x0),TV Jornal,21/02/2024,0 x 0,3,0,"R$0,00 ","0,0",,"R$1,09 ","0,00%"
Áudio (0x0),TV Jornal,21/02/2024,0 x 0,1993,8,"R$3,10 ","1,86",,"R$1,56 ","96,99%"
Áudio (0x0),TV Jornal,21/02/2024,0 x 0,845,0,"R$1,55 ","0,93",,"R$1,84 ","77,63%"
Áudio (0x0),TV Jornal,21/02/2024,0 x 0,162,0,"R$0,26 ","0,156",,"R$1,63 ","84,00%"
Áudio (0x0),Interior,21/02/2024,0 x 0,58,0,"R$0,19 ","0,114",,"R$3,30 ","82,76%"
Áudio (0x0),TV Jornal,21/02/2024,0 x 0,35,0,"R$0,14 ","0,084",,"R$4,03 ","74,19%"
AGCLUB7 INTERACTIVE B.V/0000-00,Portal NE10,21/02/2024,480 x 360v,41,1,"R$1,03 ","0,618",,"R$25,20 ","75,61%"
AGCLUB7 INTERACTIVE B.V/0000-00,Portal NE10,21/02/2024,480 x 360v,18,1,"R$0,45 ","0,27",,"R$25,20 ","94,12%"
AGCLUB7 INTERACTIVE B.V/0000-00,Interior,21/02/2024,480 x 360v,8,2,"R$0,20 ","0,12",,"R$25,20 ","87,50%"
AGCLUB7 INTERACTIVE B.V/0000-00,Interior,21/02/2024,640 x 480v,113,5,"R$2,85 ","1,71",,"R$25,20 ","0,00%"
AGCLUB7 INTERACTIVE B.V/0000-00,Interior,21/02/2024,640 x 480v,30,2,"R$0,76 ","0,456",,"R$25,20 ","0,00%"
AGCLUB7 INTERACTIVE B.V/0000-00,Interior,21/02/2024,640 x 480v,1,0,"R$0,03 ","0,018",,"R$25,20 ","0,00%"
AGCLUB7 INTERACTIVE B.V/0000-00,Interior,21/02/2024,640 x 480v,3,0,"R$0,08 ","0,048",,"R$25,20 ","0,00%"
AGCLUB7 INTERACTIVE B.V/0000-00,Jamildo,21/02/2024,480 x 360v,478,5,"R$12,05 ","7,23",,"R$25,20 ","89,79%"
AGCLUB7 INTERACTIVE B.V/0000-00,Social 1,21/02/2024,480 x 360v,134,0,"R$3,38 ","2,028",,"R$25,20 ","88,19%"
AGCLUB7 INTERACTIVE B.V/0000-00,Blog do Torcedor,21/02/2024,480 x 360v,138,1,"R$3,48 ","2,088",,"R$25,20 ","90,91%"
AGCLUB7 INTERACTIVE B.V/0000-00,JC Online,21/02/2024,480 x 360v,692,4,"R$17,44 ","10,464",,"R$25,20 ","90,18%"
AGCLUB7 INTERACTIVE B.V/0000-00,Portal NE10,21/02/2024,480 x 360v,3,0,"R$0,08 ","0,048",,"R$25,20 ","66,67%"
AGCLUB7 INTERACTIVE B.V/0000-00,Rádio Jornal,21/02/2024,480 x 360v,1,0,"R$0,03 ","0,018",,"R$25,20 ","100,00%"
AGCLUB7 INTERACTIVE B.V/0000-00,TV Jornal,21/02/2024,480 x 361v,15,1,"R$0,38 ","0,228",,"R$25,20 ","40,00%"
AGCLUB7 INTERACTIVE B.V/0000-00,TV Jornal,21/02/2024,640 x 480v,44,1,"R$1,11 ","0,666",,"R$25,20 ","36,36%"
AGCLUB7 INTERACTIVE B.V/0000-00,TV Jornal,21/02/2024,480 x 360v,113,1,"R$2,85 ","1,71",,"R$25,20 ","89,19%"
AGCLUB7 INTERACTIVE B.V/0000-00,Interior,21/02/2024,640 x 480v,2,0,"R$0,05 ","0,03",,"R$25,20 ","0,00%"
Amazon,Portal NE10,21/02/2024,1 x 1,1,0,"R$0,00 ","0,0",,"R$1,24 ","0,00%"
