Anunciante,Bloco de anúncios,Data,Tamanho do criativo,ID do anunciante,ID do bloco de anúncios,Total de impressões,Total de cliques,Receita total de CPM e de CPC (R$),eCPM médio total (R$),Porcentagem do total de impressões visíveis do Active View
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),parceiros (10869286) » ne_10 (11238766) » interior (21737767482),4/1/2024,300 x 250,5614261589,",10869286,11238766,21737767482,",2032,2,"R$19,10 ","R$9,40 ","53,60%"
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),parceiros (10869286) » ne_10 (11238766) » interior (21737767482),4/1/2024,320 x 50,5614261589,",10869286,11238766,21737767482,",1479,3,"R$13,90 ","R$9,40 ","65,40%"
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),parceiros (10869286) » ne_10 (11238766) » interior (21737767482),4/2/2024,300 x 250,5614261589,",10869286,11238766,21737767482,",1426,4,"R$13,40 ","R$9,40 ","56,35%"
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),parceiros (10869286) » ne_10 (11238766) » interior (21737767482),4/2/2024,320 x 50,5614261589,",10869286,11238766,21737767482,",2133,5,"R$20,05 ","R$9,40 ","64,87%"
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),parceiros (10869286) » ne_10 (11238766) » interior (21737767482),4/2/2024,970 x 250,5614261589,",10869286,11238766,21737767482,",1,0,"R$0,01 ","R$9,40 ","0,00%"
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),parceiros (10869286) » ne_10 (11238766) » interior (21737767482),4/3/2024,300 x 250,5614261589,",10869286,11238766,21737767482,",1517,9,"R$14,26 ","R$9,40 ","60,44%"
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),parceiros (10869286) » ne_10 (11238766) » interior (21737767482),4/3/2024,320 x 50,5614261589,",10869286,11238766,21737767482,",2720,15,"R$25,57 ","R$9,40 ","60,12%"
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),parceiros (10869286) » ne_10 (11238766) » interior (21737767482),4/4/2024,300 x 250,5614261589,",10869286,11238766,21737767482,",1543,7,"R$14,50 ","R$9,40 ","66,32%"
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),parceiros (10869286) » ne_10 (11238766) » interior (21737767482),4/4/2024,320 x 50,5614261589,",10869286,11238766,21737767482,",1645,4,"R$15,46 ","R$9,40 ","82,59%"
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),parceiros (10869286) » ne_10 (11238766) » interior (21737767482),4/5/2024,300 x 250,5614261589,",10869286,11238766,21737767482,",1345,4,"R$12,64 ","R$9,40 ","61,26%"
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),parceiros (10869286) » ne_10 (11238766) » interior (21737767482),4/5/2024,320 x 50,5614261589,",10869286,11238766,21737767482,",2045,8,"R$19,22 ","R$9,40 ","77,07%"
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),parceiros (10869286) » ne_10 (11238766) » interior (21737767482),4/5/2024,728 x 90,5614261589,",10869286,11238766,21737767482,",202,0,"R$1,90 ","R$9,40 ","66,83%"
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),parceiros (10869286) » ne_10 (11238766) » interior (21737767482),4/5/2024,970 x 250,5614261589,",10869286,11238766,21737767482,",119,0,"R$1,12 ","R$9,40 ","78,15%"
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),parceiros (10869286) » ne_10 (11238766) » interior (21737767482),4/6/2024,300 x 250,5614261589,",10869286,11238766,21737767482,",1886,6,"R$17,73 ","R$9,40 ","68,63%"
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),parceiros (10869286) » ne_10 (11238766) » interior (21737767482),4/6/2024,320 x 50,5614261589,",10869286,11238766,21737767482,",1440,8,"R$13,54 ","R$9,40 ","78,03%"
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),parceiros (10869286) » ne_10 (11238766) » interior (21737767482),4/6/2024,728 x 90,5614261589,",10869286,11238766,21737767482,",124,0,"R$1,17 ","R$9,40 ","83,87%"
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),parceiros (10869286) » ne_10 (11238766) » interior (21737767482),4/6/2024,970 x 250,5614261589,",10869286,11238766,21737767482,",58,0,"R$0,55 ","R$9,40 ","100,00%"
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),parceiros (10869286) » ne_10 (11238766) » interior (21737767482),4/7/2024,300 x 250,5614261589,",10869286,11238766,21737767482,",1641,7,"R$15,43 ","R$9,40 ","62,46%"
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),parceiros (10869286) » ne_10 (11238766) » interior (21737767482),4/7/2024,320 x 50,5614261589,",10869286,11238766,21737767482,",1402,2,"R$13,18 ","R$9,40 ","86,44%"
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),parceiros (10869286) » ne_10 (11238766) » interior (21737767482),4/7/2024,728 x 90,5614261589,",10869286,11238766,21737767482,",97,0,"R$0,91 ","R$9,40 ","117,53%"
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),parceiros (10869286) » ne_10 (11238766) » interior (21737767482),4/7/2024,970 x 250,5614261589,",10869286,11238766,21737767482,",44,0,"R$0,41 ","R$9,40 ","106,82%"
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),parceiros (10869286) » ne_10 (11238766) » interior (21737767482),4/8/2024,300 x 250,5614261589,",10869286,11238766,21737767482,",1829,3,"R$17,19 ","R$9,40 ","67,14%"
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),parceiros (10869286) » ne_10 (11238766) » interior (21737767482),4/8/2024,320 x 50,5614261589,",10869286,11238766,21737767482,",1233,3,"R$11,59 ","R$9,40 ","74,35%"
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),parceiros (10869286) » ne_10 (11238766) » interior (21737767482),4/8/2024,728 x 90,5614261589,",10869286,11238766,21737767482,",326,0,"R$3,06 ","R$9,40 ","73,93%"
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),parceiros (10869286) » ne_10 (11238766) » interior (21737767482),4/8/2024,970 x 250,5614261589,",10869286,11238766,21737767482,",183,0,"R$1,72 ","R$9,40 ","79,78%"
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),parceiros (10869286) » ne_10 (11238766) » interior (21737767482),4/9/2024,300 x 250,5614261589,",10869286,11238766,21737767482,",1240,5,"R$11,66 ","R$9,40 ","57,50%"
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),parceiros (10869286) » ne_10 (11238766) » interior (21737767482),4/9/2024,320 x 50,5614261589,",10869286,11238766,21737767482,",1692,4,"R$15,90 ","R$9,40 ","80,66%"
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),parceiros (10869286) » ne_10 (11238766) » interior (21737767482),4/9/2024,728 x 90,5614261589,",10869286,11238766,21737767482,",237,1,"R$2,23 ","R$9,40 ","80,59%"
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),parceiros (10869286) » ne_10 (11238766) » interior (21737767482),4/9/2024,970 x 250,5614261589,",10869286,11238766,21737767482,",152,0,"R$1,43 ","R$9,40 ","57,89%"
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),parceiros (10869286) » ne_10 (11238766) » interior (21737767482),4/10/2024,300 x 250,5614261589,",10869286,11238766,21737767482,",1293,7,"R$12,15 ","R$9,40 ","56,07%"
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),parceiros (10869286) » ne_10 (11238766) » interior (21737767482),4/10/2024,320 x 50,5614261589,",10869286,11238766,21737767482,",1674,0,"R$15,74 ","R$9,40 ","78,36%"
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),parceiros (10869286) » ne_10 (11238766) » interior (21737767482),4/10/2024,728 x 90,5614261589,",10869286,11238766,21737767482,",171,0,"R$1,61 ","R$9,40 ","78,95%"
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),parceiros (10869286) » ne_10 (11238766) » interior (21737767482),4/10/2024,970 x 250,5614261589,",10869286,11238766,21737767482,",93,1,"R$0,87 ","R$9,40 ","90,32%"
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),parceiros (10869286) » ne_10 (11238766) » interior (21737767482),4/11/2024,300 x 250,5614261589,",10869286,11238766,21737767482,",1292,10,"R$12,14 ","R$9,40 ","59,25%"
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),parceiros (10869286) » ne_10 (11238766) » interior (21737767482),4/11/2024,320 x 50,5614261589,",10869286,11238766,21737767482,",2277,8,"R$21,40 ","R$9,40 ","88,73%"
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),parceiros (10869286) » ne_10 (11238766) » interior (21737767482),4/11/2024,728 x 90,5614261589,",10869286,11238766,21737767482,",58,0,"R$0,55 ","R$9,40 ","96,55%"
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),parceiros (10869286) » ne_10 (11238766) » interior (21737767482),4/11/2024,970 x 250,5614261589,",10869286,11238766,21737767482,",226,0,"R$2,12 ","R$9,40 ","96,90%"
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),parceiros (10869286) » ne_10 (11238766) » interior (21737767482),4/12/2024,300 x 250,5614261589,",10869286,11238766,21737767482,",1379,4,"R$12,96 ","R$9,40 ","61,71%"
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),parceiros (10869286) » ne_10 (11238766) » interior (21737767482),4/12/2024,320 x 50,5614261589,",10869286,11238766,21737767482,",1645,1,"R$15,46 ","R$9,40 ","89,60%"
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),parceiros (10869286) » ne_10 (11238766) » interior (21737767482),4/12/2024,728 x 90,5614261589,",10869286,11238766,21737767482,",140,0,"R$1,32 ","R$9,40 ","64,29%"
