Anunciante,Bloco de anúncios,Data,Tamanho do criativo,ID do anunciante,ID do bloco de anúncios,Total de impressões,Total de cliques,Receita total de CPM e de CPC (R$),eCPM médio total (R$),Porcentagem do total de impressões visíveis do Active View
(VENDAS DIRETAS SJCC)  PITU,parceiros (10869286) » ne_10 (11238766) » home (21723566961),7/2/2024,1 x 1,5628453248,",10869286,11238766,21723566961,",31,0,"R$0,27 ","R$8,70 ","70,97%"
(VENDAS DIRETAS SJCC)  PITU,parceiros (10869286) » ne_10 (11238766) » home (21723566961),7/2/2024,300 x 250,5628453248,",10869286,11238766,21723566961,",44,0,"R$0,38 ","R$8,70 ","77,27%"
(VENDAS DIRETAS SJCC)  PITU,parceiros (10869286) » ne_10 (11238766) » home (21723566961),7/2/2024,300 x 600,5628453248,",10869286,11238766,21723566961,",5,0,"R$0,04 ","R$8,70 ","20,00%"
(VENDAS DIRETAS SJCC)  PITU,parceiros (10869286) » ne_10 (11238766) » home (21723566961),7/2/2024,320 x 50,5628453248,",10869286,11238766,21723566961,",77,0,"R$0,67 ","R$8,70 ","77,92%"
(VENDAS DIRETAS SJCC)  PITU,parceiros (10869286) » ne_10 (11238766) » home (21723566961),7/2/2024,728 x 90,5628453248,",10869286,11238766,21723566961,",1,0,"R$0,01 ","R$8,70 ","100,00%"
(VENDAS DIRETAS SJCC)  PITU,parceiros (10869286) » ne_10 (11238766) » home (21723566961),7/2/2024,970 x 250,5628453248,",10869286,11238766,21723566961,",1,0,"R$0,01 ","R$8,70 ","100,00%"
(VENDAS DIRETAS SJCC)  PITU,parceiros (10869286) » ne_10 (11238766) » home (21723566961) » anchor (22835570053),7/1/2024,320 x 50,5628453248,",10869286,11238766,21723566961,22835570053,",75,0,"R$0,65 ","R$8,70 ","92,00%"
(VENDAS DIRETAS SJCC)  PITU,parceiros (10869286) » ne_10 (11238766) » home (21723566961) » anchor (22835570053),7/1/2024,728 x 90,5628453248,",10869286,11238766,21723566961,22835570053,",479,0,"R$4,17 ","R$8,70 ","93,32%"
(VENDAS DIRETAS SJCC)  PITU,parceiros (10869286) » ne_10 (11238766) » home (21723566961) » anchor (22835570053),7/2/2024,320 x 50,5628453248,",10869286,11238766,21723566961,22835570053,",452,0,"R$3,93 ","R$8,70 ","94,03%"
(VENDAS DIRETAS SJCC)  PITU,parceiros (10869286) » ne_10 (11238766) » home (21723566961) » anchor (22835570053),7/2/2024,728 x 90,5628453248,",10869286,11238766,21723566961,22835570053,",176,0,"R$1,53 ","R$8,70 ","90,91%"
(VENDAS DIRETAS SJCC)  PITU,parceiros (10869286) » ne_10 (11238766) » home (21723566961) » in-article (21814819361) » outstream (22691595912),7/1/2024,300 x 250,5628453248,",10869286,11238766,21723566961,21814819361,22691595912,",73,1,"R$0,64 ","R$8,70 ","75,34%"
(VENDAS DIRETAS SJCC)  PITU,parceiros (10869286) » ne_10 (11238766) » home (21723566961) » in-article (21814819361) » outstream (22691595912),7/2/2024,300 x 250,5628453248,",10869286,11238766,21723566961,21814819361,22691595912,",23,0,"R$0,20 ","R$8,70 ","47,83%"
(VENDAS DIRETAS SJCC)  PITU,parceiros (10869286) » ne_10 (11238766) » jornal_do_commercio (21268726) » blog (21725415585) » social1 (22503128490),7/1/2024,300 x 250,5628453248,",10869286,11238766,21268726,21725415585,22503128490,",109,0,"R$0,95 ","R$8,70 ","70,64%"
(VENDAS DIRETAS SJCC)  PITU,parceiros (10869286) » ne_10 (11238766) » jornal_do_commercio (21268726) » blog (21725415585) » social1 (22503128490),7/1/2024,320 x 50,5628453248,",10869286,11238766,21268726,21725415585,22503128490,",238,0,"R$2,07 ","R$8,70 ","97,06%"
(VENDAS DIRETAS SJCC)  PITU,parceiros (10869286) » ne_10 (11238766) » jornal_do_commercio (21268726) » blog (21725415585) » social1 (22503128490),7/1/2024,728 x 90,5628453248,",10869286,11238766,21268726,21725415585,22503128490,",20,0,"R$0,17 ","R$8,70 ","95,00%"
(VENDAS DIRETAS SJCC)  PITU,parceiros (10869286) » ne_10 (11238766) » jornal_do_commercio (21268726) » blog (21725415585) » social1 (22503128490),7/2/2024,300 x 250,5628453248,",10869286,11238766,21268726,21725415585,22503128490,",893,2,"R$7,77 ","R$8,70 ","74,36%"
(VENDAS DIRETAS SJCC)  PITU,parceiros (10869286) » ne_10 (11238766) » jornal_do_commercio (21268726) » blog (21725415585) » social1 (22503128490),7/2/2024,300 x 600,5628453248,",10869286,11238766,21268726,21725415585,22503128490,",18,0,"R$0,16 ","R$8,70 ","94,44%"
(VENDAS DIRETAS SJCC)  PITU,parceiros (10869286) » ne_10 (11238766) » jornal_do_commercio (21268726) » blog (21725415585) » social1 (22503128490),7/2/2024,320 x 50,5628453248,",10869286,11238766,21268726,21725415585,22503128490,",2219,4,"R$19,31 ","R$8,70 ","95,85%"
(VENDAS DIRETAS SJCC)  PITU,parceiros (10869286) » ne_10 (11238766) » jornal_do_commercio (21268726) » blog (21725415585) » social1 (22503128490),7/2/2024,728 x 90,5628453248,",10869286,11238766,21268726,21725415585,22503128490,",82,0,"R$0,71 ","R$8,70 ","87,80%"
(VENDAS DIRETAS SJCC)  PITU,parceiros (10869286) » ne_10 (11238766) » jornal_do_commercio (21268726) » blog (21725415585) » social1 (22503128490) » amp_stories (22722733856),7/1/2024,1 x 1,5628453248,",10869286,11238766,21268726,21725415585,22503128490,22722733856,",326,2,"R$2,84 ","R$8,70 ","26,38%"
(VENDAS DIRETAS SJCC)  PITU,parceiros (10869286) » ne_10 (11238766) » jornal_do_commercio (21268726) » blog (21725415585) » social1 (22503128490) » amp_stories (22722733856),7/2/2024,1 x 1,5628453248,",10869286,11238766,21268726,21725415585,22503128490,22722733856,",2028,12,"R$17,64 ","R$8,70 ","32,61%"
(VENDAS DIRETAS SJCC)  PITU,parceiros (10869286) » ne_10 (11238766) » jornal_do_commercio (21268726) » blog (21725415585) » social1 (22503128490) » anchor (22835572852),7/1/2024,320 x 50,5628453248,",10869286,11238766,21268726,21725415585,22503128490,22835572852,",4,0,"R$0,03 ","R$8,70 ","100,00%"
(VENDAS DIRETAS SJCC)  PITU,parceiros (10869286) » ne_10 (11238766) » jornal_do_commercio (21268726) » blog (21725415585) » social1 (22503128490) » anchor (22835572852),7/1/2024,728 x 90,5628453248,",10869286,11238766,21268726,21725415585,22503128490,22835572852,",4,0,"R$0,03 ","R$8,70 ","100,00%"
(VENDAS DIRETAS SJCC)  PITU,parceiros (10869286) » ne_10 (11238766) » jornal_do_commercio (21268726) » blog (21725415585) » social1 (22503128490) » anchor (22835572852),7/2/2024,320 x 50,5628453248,",10869286,11238766,21268726,21725415585,22503128490,22835572852,",48,0,"R$0,42 ","R$8,70 ","97,92%"
(VENDAS DIRETAS SJCC)  PITU,parceiros (10869286) » ne_10 (11238766) » jornal_do_commercio (21268726) » blog (21725415585) » social1 (22503128490) » anchor (22835572852),7/2/2024,728 x 90,5628453248,",10869286,11238766,21268726,21725415585,22503128490,22835572852,",9,0,"R$0,08 ","R$8,70 ","100,00%"
(VENDAS DIRETAS SJCC)  PITU,parceiros (10869286) » ne_10 (11238766) » radio_jornal (21719551231),7/1/2024,1 x 1,5628453248,",10869286,11238766,21719551231,",11,0,"R$0,10 ","R$8,70 ","63,64%"
(VENDAS DIRETAS SJCC)  PITU,parceiros (10869286) » ne_10 (11238766) » radio_jornal (21719551231),7/1/2024,300 x 250,5628453248,",10869286,11238766,21719551231,",189,1,"R$1,64 ","R$8,70 ","74,60%"
(VENDAS DIRETAS SJCC)  PITU,parceiros (10869286) » ne_10 (11238766) » radio_jornal (21719551231),7/1/2024,300 x 600,5628453248,",10869286,11238766,21719551231,",17,0,"R$0,15 ","R$8,70 ","105,88%"
(VENDAS DIRETAS SJCC)  PITU,parceiros (10869286) » ne_10 (11238766) » radio_jornal (21719551231),7/1/2024,320 x 50,5628453248,",10869286,11238766,21719551231,",295,0,"R$2,57 ","R$8,70 ","77,21%"
(VENDAS DIRETAS SJCC)  PITU,parceiros (10869286) » ne_10 (11238766) » radio_jornal (21719551231),7/1/2024,728 x 90,5628453248,",10869286,11238766,21719551231,",22,0,"R$0,19 ","R$8,70 ","118,18%"
(VENDAS DIRETAS SJCC)  PITU,parceiros (10869286) » ne_10 (11238766) » radio_jornal (21719551231),7/1/2024,970 x 250,5628453248,",10869286,11238766,21719551231,",6,0,"R$0,05 ","R$8,70 ","100,00%"
(VENDAS DIRETAS SJCC)  PITU,parceiros (10869286) » ne_10 (11238766) » radio_jornal (21719551231),7/2/2024,1 x 1,5628453248,",10869286,11238766,21719551231,",82,0,"R$0,71 ","R$8,70 ","80,49%"
(VENDAS DIRETAS SJCC)  PITU,parceiros (10869286) » ne_10 (11238766) » radio_jornal (21719551231),7/2/2024,300 x 250,5628453248,",10869286,11238766,21719551231,",84,0,"R$0,73 ","R$8,70 ","67,86%"
(VENDAS DIRETAS SJCC)  PITU,parceiros (10869286) » ne_10 (11238766) » radio_jornal (21719551231),7/2/2024,300 x 600,5628453248,",10869286,11238766,21719551231,",14,0,"R$0,12 ","R$8,70 ","42,86%"
