Anunciante,Bloco de anúncios,Data,Tamanho do criativo,ID do anunciante,ID do bloco de anúncios,Total de impressões,Total de cliques,Receita total de CPM e de CPC (R$)
-,parceiros (10869286) » ne_10 (11238766),2/1/2024,0 x 0,-1,",10869286,11238766,",236,0,"R$0,25 "
-,parceiros (10869286) » ne_10 (11238766),2/2/2024,0 x 0,-1,",10869286,11238766,",165,0,"R$0,16 "
-,parceiros (10869286) » ne_10 (11238766),2/3/2024,0 x 0,-1,",10869286,11238766,",165,0,"R$0,16 "
-,parceiros (10869286) » ne_10 (11238766),2/4/2024,0 x 0,-1,",10869286,11238766,",146,0,"R$0,20 "
-,parceiros (10869286) » ne_10 (11238766),2/5/2024,0 x 0,-1,",10869286,11238766,",104,0,"R$0,09 "
-,parceiros (10869286) » ne_10 (11238766) » anchor (22834406532),2/1/2024,0 x 0,-1,",10869286,11238766,22834406532,",299,1,"R$0,24 "
-,parceiros (10869286) » ne_10 (11238766) » anchor (22834406532),2/2/2024,0 x 0,-1,",10869286,11238766,22834406532,",517,0,"R$0,65 "
-,parceiros (10869286) » ne_10 (11238766) » anchor (22834406532),2/3/2024,0 x 0,-1,",10869286,11238766,22834406532,",89,0,"R$0,19 "
-,parceiros (10869286) » ne_10 (11238766) » anchor (22834406532),2/4/2024,0 x 0,-1,",10869286,11238766,22834406532,",85,0,"R$0,06 "
-,parceiros (10869286) » ne_10 (11238766) » anchor (22834406532),2/5/2024,0 x 0,-1,",10869286,11238766,22834406532,",249,0,"R$0,26 "
-,parceiros (10869286) » ne_10 (11238766) » entretenimento (21722649521),2/2/2024,0 x 0,-1,",10869286,11238766,21722649521,",7,0,"R$0,00 "
-,parceiros (10869286) » ne_10 (11238766) » home (21723566961),2/1/2024,0 x 0,-1,",10869286,11238766,21723566961,",1891,0,"R$2,97 "
-,parceiros (10869286) » ne_10 (11238766) » home (21723566961),2/2/2024,0 x 0,-1,",10869286,11238766,21723566961,",1450,0,"R$2,70 "
-,parceiros (10869286) » ne_10 (11238766) » home (21723566961),2/3/2024,0 x 0,-1,",10869286,11238766,21723566961,",497,0,"R$1,47 "
-,parceiros (10869286) » ne_10 (11238766) » home (21723566961),2/4/2024,0 x 0,-1,",10869286,11238766,21723566961,",551,0,"R$1,02 "
-,parceiros (10869286) » ne_10 (11238766) » home (21723566961),2/5/2024,0 x 0,-1,",10869286,11238766,21723566961,",1071,1,"R$2,57 "
-,parceiros (10869286) » ne_10 (11238766) » home (21723566961) » anchor (22835570053),2/1/2024,0 x 0,-1,",10869286,11238766,21723566961,22835570053,",2626,2,"R$2,70 "
-,parceiros (10869286) » ne_10 (11238766) » home (21723566961) » anchor (22835570053),2/2/2024,0 x 0,-1,",10869286,11238766,21723566961,22835570053,",1921,5,"R$2,14 "
-,parceiros (10869286) » ne_10 (11238766) » home (21723566961) » anchor (22835570053),2/3/2024,0 x 0,-1,",10869286,11238766,21723566961,22835570053,",147,2,"R$0,54 "
-,parceiros (10869286) » ne_10 (11238766) » home (21723566961) » anchor (22835570053),2/4/2024,0 x 0,-1,",10869286,11238766,21723566961,22835570053,",374,0,"R$1,01 "
-,parceiros (10869286) » ne_10 (11238766) » home (21723566961) » anchor (22835570053),2/5/2024,0 x 0,-1,",10869286,11238766,21723566961,22835570053,",2521,7,"R$2,84 "
-,parceiros (10869286) » ne_10 (11238766) » home (21723566961) » in-article (21814819361),2/1/2024,0 x 0,-1,",10869286,11238766,21723566961,21814819361,",24,1,"R$0,27 "
-,parceiros (10869286) » ne_10 (11238766) » home (21723566961) » in-article (21814819361),2/2/2024,0 x 0,-1,",10869286,11238766,21723566961,21814819361,",89,0,"R$0,30 "
-,parceiros (10869286) » ne_10 (11238766) » home (21723566961) » in-article (21814819361),2/3/2024,0 x 0,-1,",10869286,11238766,21723566961,21814819361,",66,2,"R$0,41 "
-,parceiros (10869286) » ne_10 (11238766) » home (21723566961) » in-article (21814819361),2/4/2024,0 x 0,-1,",10869286,11238766,21723566961,21814819361,",71,0,"R$0,23 "
-,parceiros (10869286) » ne_10 (11238766) » home (21723566961) » in-article (21814819361),2/5/2024,0 x 0,-1,",10869286,11238766,21723566961,21814819361,",146,0,"R$0,64 "
-,parceiros (10869286) » ne_10 (11238766) » home (21723566961) » in-article (21814819361) » outstream (22691595912),2/1/2024,0 x 0,-1,",10869286,11238766,21723566961,21814819361,22691595912,",99,0,"R$0,16 "
-,parceiros (10869286) » ne_10 (11238766) » home (21723566961) » in-article (21814819361) » outstream (22691595912),2/2/2024,0 x 0,-1,",10869286,11238766,21723566961,21814819361,22691595912,",128,0,"R$0,13 "
-,parceiros (10869286) » ne_10 (11238766) » home (21723566961) » in-article (21814819361) » outstream (22691595912),2/3/2024,0 x 0,-1,",10869286,11238766,21723566961,21814819361,22691595912,",5,0,"R$0,02 "
-,parceiros (10869286) » ne_10 (11238766) » home (21723566961) » in-article (21814819361) » outstream (22691595912),2/4/2024,0 x 0,-1,",10869286,11238766,21723566961,21814819361,22691595912,",7,0,"R$0,01 "
-,parceiros (10869286) » ne_10 (11238766) » home (21723566961) » in-article (21814819361) » outstream (22691595912),2/5/2024,0 x 0,-1,",10869286,11238766,21723566961,21814819361,22691595912,",121,0,"R$0,20 "
-,parceiros (10869286) » ne_10 (11238766) » in-article (21720229610),2/1/2024,0 x 0,-1,",10869286,11238766,21720229610,",5,0,"R$0,02 "
-,parceiros (10869286) » ne_10 (11238766) » in-article (21720229610),2/2/2024,0 x 0,-1,",10869286,11238766,21720229610,",14,0,"R$0,32 "
-,parceiros (10869286) » ne_10 (11238766) » in-article (21720229610),2/3/2024,0 x 0,-1,",10869286,11238766,21720229610,",13,0,"R$0,08 "
-,parceiros (10869286) » ne_10 (11238766) » in-article (21720229610),2/4/2024,0 x 0,-1,",10869286,11238766,21720229610,",12,0,"R$0,09 "
-,parceiros (10869286) » ne_10 (11238766) » in-article (21720229610),2/5/2024,0 x 0,-1,",10869286,11238766,21720229610,",19,0,"R$0,04 "
-,parceiros (10869286) » ne_10 (11238766) » interior (21737767482),2/1/2024,0 x 0,-1,",10869286,11238766,21737767482,",45,0,"R$0,28 "
-,parceiros (10869286) » ne_10 (11238766) » interior (21737767482),2/2/2024,0 x 0,-1,",10869286,11238766,21737767482,",41,0,"R$0,24 "
-,parceiros (10869286) » ne_10 (11238766) » interior (21737767482),2/3/2024,0 x 0,-1,",10869286,11238766,21737767482,",67,1,"R$0,64 "
-,parceiros (10869286) » ne_10 (11238766) » interior (21737767482),2/4/2024,0 x 0,-1,",10869286,11238766,21737767482,",64,1,"R$0,74 "
-,parceiros (10869286) » ne_10 (11238766) » interior (21737767482),2/5/2024,0 x 0,-1,",10869286,11238766,21737767482,",55,0,"R$0,56 "
-,parceiros (10869286) » ne_10 (11238766) » interior (21737767482) » amp_stories (22722750494),2/3/2024,0 x 0,-1,",10869286,11238766,21737767482,22722750494,",1,0,"R$0,00 "
-,parceiros (10869286) » ne_10 (11238766) » interior (21737767482) » amp_stories (22722750494),2/4/2024,0 x 0,-1,",10869286,11238766,21737767482,22722750494,",1,0,"R$0,00 "
-,parceiros (10869286) » ne_10 (11238766) » interior (21737767482) » anchor (22834637125),2/1/2024,0 x 0,-1,",10869286,11238766,21737767482,22834637125,",202,1,"R$0,49 "
-,parceiros (10869286) » ne_10 (11238766) » interior (21737767482) » anchor (22834637125),2/2/2024,0 x 0,-1,",10869286,11238766,21737767482,22834637125,",86,0,"R$0,37 "
-,parceiros (10869286) » ne_10 (11238766) » interior (21737767482) » anchor (22834637125),2/3/2024,0 x 0,-1,",10869286,11238766,21737767482,22834637125,",178,1,"R$0,43 "
-,parceiros (10869286) » ne_10 (11238766) » interior (21737767482) » anchor (22834637125),2/4/2024,0 x 0,-1,",10869286,11238766,21737767482,22834637125,",333,1,"R$1,00 "
-,parceiros (10869286) » ne_10 (11238766) » interior (21737767482) » anchor (22834637125),2/5/2024,0 x 0,-1,",10869286,11238766,21737767482,22834637125,",457,1,"R$0,76 "
-,parceiros (10869286) » ne_10 (11238766) » interior (21737767482) » in-article (21823750911),2/1/2024,0 x 0,-1,",10869286,11238766,21737767482,21823750911,",3,0,"R$0,05 "
-,parceiros (10869286) » ne_10 (11238766) » interior (21737767482) » in-article (21823750911),2/2/2024,0 x 0,-1,",10869286,11238766,21737767482,21823750911,",21,0,"R$0,04 "
-,parceiros (10869286) » ne_10 (11238766) » interior (21737767482) » in-article (21823750911),2/3/2024,0 x 0,-1,",10869286,11238766,21737767482,21823750911,",36,1,"R$0,03 "
-,parceiros (10869286) » ne_10 (11238766) » interior (21737767482) » in-article (21823750911),2/4/2024,0 x 0,-1,",10869286,11238766,21737767482,21823750911,",34,0,"R$0,07 "
-,parceiros (10869286) » ne_10 (11238766) » interior (21737767482) » in-article (21823750911),2/5/2024,0 x 0,-1,",10869286,11238766,21737767482,21823750911,",61,1,"R$0,14 "
-,parceiros (10869286) » ne_10 (11238766) » interior (21737767482) » in-article (21823750911) » outstream (22691595915),2/1/2024,0 x 0,-1,",10869286,11238766,21737767482,21823750911,22691595915,",16,0,"R$0,01 "
-,parceiros (10869286) » ne_10 (11238766) » interior (21737767482) » in-article (21823750911) » outstream (22691595915),2/2/2024,0 x 0,-1,",10869286,11238766,21737767482,21823750911,22691595915,",2,0,"R$0,00 "
-,parceiros (10869286) » ne_10 (11238766) » interior (21737767482) » in-article (21823750911) » outstream (22691595915),2/3/2024,0 x 0,-1,",10869286,11238766,21737767482,21823750911,22691595915,",6,0,"R$0,00 "
-,parceiros (10869286) » ne_10 (11238766) » interior (21737767482) » in-article (21823750911) » outstream (22691595915),2/4/2024,0 x 0,-1,",10869286,11238766,21737767482,21823750911,22691595915,",1,0,"R$0,00 "
-,parceiros (10869286) » ne_10 (11238766) » interior (21737767482) » in-article (21823750911) » outstream (22691595915),2/5/2024,0 x 0,-1,",10869286,11238766,21737767482,21823750911,22691595915,",12,0,"R$0,06 "
-,parceiros (10869286) » ne_10 (11238766) » interior (21737767482) » radio_jornal (22042866649) » caruaru (22042962197) » video (22683744243),2/1/2024,0 x 0,-1,",10869286,11238766,21737767482,22042866649,22042962197,22683744243,",3,0,"R$0,00 "
-,parceiros (10869286) » ne_10 (11238766) » interior (21737767482) » radio_jornal (22042866649) » caruaru (22042962197) » video (22683744243),2/3/2024,0 x 0,-1,",10869286,11238766,21737767482,22042866649,22042962197,22683744243,",1,0,"R$0,00 "
-,parceiros (10869286) » ne_10 (11238766) » interior (21737767482) » radio_jornal (22042866649) » caruaru (22042962197) » video (22683744243),2/4/2024,0 x 0,-1,",10869286,11238766,21737767482,22042866649,22042962197,22683744243,",1,0,"R$0,00 "
-,parceiros (10869286) » ne_10 (11238766) » indica (22674207097),2/1/2024,0 x 0,-1,",10869286,11238766,22674207097,",5,0,"R$0,01 "
-,parceiros (10869286) » ne_10 (11238766) » indica (22674207097),2/2/2024,0 x 0,-1,",10869286,11238766,22674207097,",3,0,"R$0,00 "
-,parceiros (10869286) » ne_10 (11238766) » indica (22674207097),2/3/2024,0 x 0,-1,",10869286,11238766,22674207097,",4,0,"R$0,01 "
-,parceiros (10869286) » ne_10 (11238766) » jornal_do_commercio (21268726),2/1/2024,0 x 0,-1,",10869286,11238766,21268726,",30273,2,"R$54,54 "
-,parceiros (10869286) » ne_10 (11238766) » jornal_do_commercio (21268726),2/2/2024,0 x 0,-1,",10869286,11238766,21268726,",25664,1,"R$51,56 "
-,parceiros (10869286) » ne_10 (11238766) » jornal_do_commercio (21268726),2/3/2024,0 x 0,-1,",10869286,11238766,21268726,",26860,4,"R$51,94 "
-,parceiros (10869286) » ne_10 (11238766) » jornal_do_commercio (21268726),2/4/2024,0 x 0,-1,",10869286,11238766,21268726,",40414,8,"R$71,94 "
-,parceiros (10869286) » ne_10 (11238766) » jornal_do_commercio (21268726),2/5/2024,0 x 0,-1,",10869286,11238766,21268726,",15796,1,"R$37,08 "
-,parceiros (10869286) » ne_10 (11238766) » jornal_do_commercio (21268726) » colunas (22678504715) » jamildo (22678108642),2/1/2024,0 x 0,-1,",10869286,11238766,21268726,22678504715,22678108642,",43310,0,"R$67,24 "
-,parceiros (10869286) » ne_10 (11238766) » jornal_do_commercio (21268726) » colunas (22678504715) » jamildo (22678108642),2/2/2024,0 x 0,-1,",10869286,11238766,21268726,22678504715,22678108642,",39935,0,"R$76,99 "
-,parceiros (10869286) » ne_10 (11238766) » jornal_do_commercio (21268726) » colunas (22678504715) » jamildo (22678108642),2/3/2024,0 x 0,-1,",10869286,11238766,21268726,22678504715,22678108642,",41746,0,"R$71,45 "
-,parceiros (10869286) » ne_10 (11238766) » jornal_do_commercio (21268726) » colunas (22678504715) » jamildo (22678108642),2/4/2024,0 x 0,-1,",10869286,11238766,21268726,22678504715,22678108642,",81899,0,"R$130,17 "
-,parceiros (10869286) » ne_10 (11238766) » jornal_do_commercio (21268726) » colunas (22678504715) » jamildo (22678108642),2/5/2024,0 x 0,-1,",10869286,11238766,21268726,22678504715,22678108642,",36258,0,"R$75,85 "
-,parceiros (10869286) » ne_10 (11238766) » jornal_do_commercio (21268726) » amp_stories (22696598094),2/1/2024,0 x 0,-1,",10869286,11238766,21268726,22696598094,",8,0,"R$0,01 "
-,parceiros (10869286) » ne_10 (11238766) » jornal_do_commercio (21268726) » amp_stories (22696598094),2/2/2024,0 x 0,-1,",10869286,11238766,21268726,22696598094,",7,0,"R$0,02 "
-,parceiros (10869286) » ne_10 (11238766) » jornal_do_commercio (21268726) » amp_stories (22696598094),2/3/2024,0 x 0,-1,",10869286,11238766,21268726,22696598094,",5,0,"R$0,01 "
-,parceiros (10869286) » ne_10 (11238766) » jornal_do_commercio (21268726) » amp_stories (22696598094),2/4/2024,0 x 0,-1,",10869286,11238766,21268726,22696598094,",5,0,"R$0,01 "
-,parceiros (10869286) » ne_10 (11238766) » jornal_do_commercio (21268726) » amp_stories (22696598094),2/5/2024,0 x 0,-1,",10869286,11238766,21268726,22696598094,",4,0,"R$0,02 "
-,parceiros (10869286) » ne_10 (11238766) » jornal_do_commercio (21268726) » anchor (22834992269),2/1/2024,0 x 0,-1,",10869286,11238766,21268726,22834992269,",18966,19,"R$26,89 "
-,parceiros (10869286) » ne_10 (11238766) » jornal_do_commercio (21268726) » anchor (22834992269),2/2/2024,0 x 0,-1,",10869286,11238766,21268726,22834992269,",16486,32,"R$19,08 "
-,parceiros (10869286) » ne_10 (11238766) » jornal_do_commercio (21268726) » anchor (22834992269),2/3/2024,0 x 0,-1,",10869286,11238766,21268726,22834992269,",3914,10,"R$6,67 "
-,parceiros (10869286) » ne_10 (11238766) » jornal_do_commercio (21268726) » anchor (22834992269),2/4/2024,0 x 0,-1,",10869286,11238766,21268726,22834992269,",8191,13,"R$12,48 "
-,parceiros (10869286) » ne_10 (11238766) » jornal_do_commercio (21268726) » anchor (22834992269),2/5/2024,0 x 0,-1,",10869286,11238766,21268726,22834992269,",20629,30,"R$24,45 "
-,parceiros (10869286) » ne_10 (11238766) » jornal_do_commercio (21268726) » blog (21725415585) » jamildo (22475149105),2/1/2024,0 x 0,-1,",10869286,11238766,21268726,21725415585,22475149105,",7909,0,"R$15,67 "
-,parceiros (10869286) » ne_10 (11238766) » jornal_do_commercio (21268726) » blog (21725415585) » jamildo (22475149105),2/2/2024,0 x 0,-1,",10869286,11238766,21268726,21725415585,22475149105,",5672,0,"R$12,19 "
-,parceiros (10869286) » ne_10 (11238766) » jornal_do_commercio (21268726) » blog (21725415585) » jamildo (22475149105),2/3/2024,0 x 0,-1,",10869286,11238766,21268726,21725415585,22475149105,",2767,0,"R$5,84 "
-,parceiros (10869286) » ne_10 (11238766) » jornal_do_commercio (21268726) » blog (21725415585) » jamildo (22475149105),2/4/2024,0 x 0,-1,",10869286,11238766,21268726,21725415585,22475149105,",2668,0,"R$5,91 "
-,parceiros (10869286) » ne_10 (11238766) » jornal_do_commercio (21268726) » blog (21725415585) » jamildo (22475149105),2/5/2024,0 x 0,-1,",10869286,11238766,21268726,21725415585,22475149105,",4800,0,"R$13,10 "
-,parceiros (10869286) » ne_10 (11238766) » jornal_do_commercio (21268726) » blog (21725415585) » jamildo (22475149105) » anchor (22835571571),2/1/2024,0 x 0,-1,",10869286,11238766,21268726,21725415585,22475149105,22835571571,",12990,14,"R$14,14 "
-,parceiros (10869286) » ne_10 (11238766) » jornal_do_commercio (21268726) » blog (21725415585) » jamildo (22475149105) » anchor (22835571571),2/2/2024,0 x 0,-1,",10869286,11238766,21268726,21725415585,22475149105,22835571571,",10259,11,"R$11,41 "
-,parceiros (10869286) » ne_10 (11238766) » jornal_do_commercio (21268726) » blog (21725415585) » jamildo (22475149105) » anchor (22835571571),2/3/2024,0 x 0,-1,",10869286,11238766,21268726,21725415585,22475149105,22835571571,",2929,5,"R$4,19 "
-,parceiros (10869286) » ne_10 (11238766) » jornal_do_commercio (21268726) » blog (21725415585) » jamildo (22475149105) » anchor (22835571571),2/4/2024,0 x 0,-1,",10869286,11238766,21268726,21725415585,22475149105,22835571571,",2947,6,"R$4,24 "
-,parceiros (10869286) » ne_10 (11238766) » jornal_do_commercio (21268726) » blog (21725415585) » jamildo (22475149105) » anchor (22835571571),2/5/2024,0 x 0,-1,",10869286,11238766,21268726,21725415585,22475149105,22835571571,",19544,30,"R$22,24 "
-,parceiros (10869286) » ne_10 (11238766) » jornal_do_commercio (21268726) » blog (21725415585) » jamildo (22475149105) » in-article (22475135310),2/1/2024,0 x 0,-1,",10869286,11238766,21268726,21725415585,22475149105,22475135310,",1635,4,"R$4,20 "
-,parceiros (10869286) » ne_10 (11238766) » jornal_do_commercio (21268726) » blog (21725415585) » jamildo (22475149105) » in-article (22475135310),2/2/2024,0 x 0,-1,",10869286,11238766,21268726,21725415585,22475149105,22475135310,",1519,12,"R$3,77 "
