Anunciante,Bloco de anúncios,Data,Mês,Tamanho do criativo,Total de impressões,Total de cliques,Receita Bruta (R$),Receita Líquida,eCPM médio total (R$),Porcentagem do total de impressões visíveis do Active View
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Interior,16/04/2024,4,300 x 250,979,3,"R$9,20 ","5,52","R$9,40 ","58,24%"
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Interior,16/04/2024,4,320 x 50,297,0,"R$2,79 ","1,674","R$9,40 ","81,42%"
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Interior,16/04/2024,4,320 x 50,449,1,"R$4,22 ","2,532","R$9,40 ","74,61%"
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Interior,16/04/2024,4,728 x 90,16,0,"R$0,15 ","0,09","R$9,40 ","81,25%"
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Interior,16/04/2024,4,300 x 250,7,0,"R$0,07 ","0,042","R$9,40 ","57,14%"
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Rádio Jornal,16/04/2024,4,300 x 250,1651,0,"R$15,52 ","9,312","R$9,40 ","57,82%"
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Rádio Jornal,16/04/2024,4,320 x 50,671,0,"R$6,31 ","3,786","R$9,40 ","85,50%"
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Rádio Jornal,16/04/2024,4,970 x 250,1,0,"R$0,01 ","0,006","R$9,40 ","100,00%"
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Rádio Jornal,16/04/2024,4,320 x 50,801,2,"R$7,53 ","4,518","R$9,40 ","98,25%"
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Rádio Jornal,16/04/2024,4,728 x 90,411,0,"R$3,86 ","2,316","R$9,40 ","99,03%"
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),parceiros (10869286) » ne_10 (11238766) » radio_jornal (21719551231) » app (23085685547),16/04/2024,4,300 x 250,2836,4,"R$26,66 ","15,996","R$9,40 ","75,49%"
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),parceiros (10869286) » ne_10 (11238766) » radio_jornal (21719551231) » app (23085685547),16/04/2024,4,320 x 50,21,1,"R$0,20 ","0,12","R$9,40 ","85,71%"
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Rádio Jornal,16/04/2024,4,300 x 250,39,0,"R$0,37 ","0,222","R$9,40 ","58,97%"
( Projeto SJCC ) - (SBT Nordeste - Copa do Nordeste),TV Jornal,16/04/2024,4,300 x 250,2014,2,"R$18,93 ","11,358","R$9,40 ","70,51%"
( Projeto SJCC ) - (SBT Nordeste - Copa do Nordeste),TV Jornal,16/04/2024,4,320 x 50,619,2,"R$5,82 ","3,492","R$9,40 ","84,30%"
( Projeto SJCC ) - (SBT Nordeste - Copa do Nordeste),TV Jornal,16/04/2024,4,970 x 250,2,0,"R$0,02 ","0,012","R$9,40 ","50,00%"
( Projeto SJCC ) - (SBT Nordeste - Copa do Nordeste),TV Jornal,16/04/2024,4,320 x 50,595,1,"R$5,59 ","3,354","R$9,40 ","96,47%"
( Projeto SJCC ) - (SBT Nordeste - Copa do Nordeste),TV Jornal,16/04/2024,4,728 x 90,54,0,"R$0,51 ","0,306","R$9,40 ","98,15%"
( Projeto SJCC ) - (SBT Nordeste - Copa do Nordeste),TV Jornal,16/04/2024,4,320 x 50,1,0,"R$0,01 ","0,006","R$9,40 ","100,00%"
( Projeto SJCC ) - (SBT Nordeste - Copa do Nordeste),TV Jornal,16/04/2024,4,320 x 50,585,0,"R$5,50 ","3,3","R$9,40 ","103,76%"
( Projeto SJCC) -  (Marketing Recife Copa do Nordeste),Portal NE10,16/04/2024,4,300 x 250,1,0,"R$0,00 ","0,0","R$3,74 ","0,00%"
( Projeto SJCC) -  (Marketing Recife Copa do Nordeste),Portal NE10,16/04/2024,4,320 x 50,7,0,"R$0,03 ","0,018","R$3,74 ","100,00%"
( Projeto SJCC) -  (Marketing Recife Copa do Nordeste),Portal NE10,16/04/2024,4,300 x 250,11,0,"R$0,04 ","0,024","R$3,74 ","27,27%"
( Projeto SJCC) -  (Marketing Recife Copa do Nordeste),JC Online,16/04/2024,4,300 x 250,1687,5,"R$6,31 ","3,786","R$3,74 ","69,81%"
( Projeto SJCC) -  (Marketing Recife Copa do Nordeste),JC Online,16/04/2024,4,320 x 50,700,3,"R$2,62 ","1,572","R$3,74 ","86,10%"
( Projeto SJCC) -  (Marketing Recife Copa do Nordeste),JC Online,16/04/2024,4,320 x 50,2272,1,"R$8,50 ","5,1","R$3,74 ","97,27%"
( Projeto SJCC) -  (Marketing Recife Copa do Nordeste),JC Online,16/04/2024,4,300 x 250,1,0,"R$0,00 ","0,0","R$3,74 ","0,00%"
( Projeto SJCC) -  (Marketing Recife Copa do Nordeste),Portal NE10,16/04/2024,4,300 x 250,87,0,"R$0,33 ","0,198","R$3,74 ","57,47%"
( Projeto SJCC) -  (Marketing Recife Copa do Nordeste),Portal NE10,16/04/2024,4,320 x 50,46,0,"R$0,17 ","0,102","R$3,74 ","76,09%"
( Projeto SJCC) -  (Marketing Recife Copa do Nordeste),Portal NE10,16/04/2024,4,320 x 50,19,0,"R$0,07 ","0,042","R$3,74 ","100,00%"
( Projeto SJCC) -  (Marketing Recife Copa do Nordeste),Portal NE10,16/04/2024,4,300 x 250,1,0,"R$0,00 ","0,0","R$3,74 ","0,00%"
( Projeto SJCC) -  (Marketing Recife Copa do Nordeste),parceiros (10869286) » ne_10 (11238766) » radio_jornal (21719551231) » app (23085685547),16/04/2024,4,300 x 250,4462,4,"R$16,69 ","10,014","R$3,74 ","73,86%"
( Projeto SJCC) -  (Marketing Recife Copa do Nordeste),parceiros (10869286) » ne_10 (11238766) » radio_jornal (21719551231) » app (23085685547),16/04/2024,4,320 x 50,44,0,"R$0,16 ","0,096","R$3,74 ","90,24%"
( Venda Direta SJCC)  UNIVERSIDADE CATOLICA DE PERNAMBUCO,Portal NE10,16/04/2024,4,970 x 250,146,0,"R$1,30 ","0,78","R$8,89 ","67,12%"
( Venda Direta SJCC)  UNIVERSIDADE CATOLICA DE PERNAMBUCO,Portal NE10,16/04/2024,4,970 x 250,195,0,"R$1,73 ","1,038","R$8,89 ","72,82%"
( Venda Direta SJCC)  UNIVERSIDADE CATOLICA DE PERNAMBUCO,Interior,16/04/2024,4,970 x 250,164,1,"R$1,46 ","0,876","R$8,89 ","71,95%"
( Venda Direta SJCC)  UNIVERSIDADE CATOLICA DE PERNAMBUCO,Portal NE10,16/04/2024,4,970 x 250,2,0,"R$0,02 ","0,012","R$8,89 ","0,00%"
( Venda Direta SJCC)  UNIVERSIDADE CATOLICA DE PERNAMBUCO,JC Online,16/04/2024,4,970 x 250,5789,3,"R$51,46 ","30,876","R$8,89 ","65,94%"
( Venda Direta SJCC)  UNIVERSIDADE CATOLICA DE PERNAMBUCO,Jamildo,16/04/2024,4,970 x 250,513,0,"R$4,56 ","2,736","R$8,89 ","75,63%"
